dbscan_label,외국인_아침_유동인구,외국인_점심_유동인구,외국인_저녁_유동인구
-1,2786.6666666666665,9028.0,5884.333333333333
0,166.48902821316614,680.3097178683386,440.6545454545454
1,3047.8333333333335,9390.5,6962.166666666667
