역명,승하차구분,승객유형,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,합계
가락시장,승차,어린이,3,5,6,156,56,86,122,161,163,163,172,164,158,124,49,63,27,16,4,1,1699
가락시장,승차,외국인,0,0,0,5,9,9,10,9,6,4,9,12,21,6,5,8,16,0,0,1,130
가락시장,승차,우대권,2275,3683,5711,7265,10035,12694,13369,12164,12902,14495,15517,13216,10803,7905,5303,4408,3190,2178,851,224,158188
가락시장,승차,일반,4671,10368,28457,31606,20529,14317,13518,14698,14996,15090,16822,20532,33794,50132,20878,18627,18912,16007,7110,1490,372554
가락시장,승차,중고생,0,0,1,0,1,1,1,1,0,0,2,1,1,1,0,0,1,1,0,0,12
가락시장,승차,청소년,10,117,1009,473,332,341,340,598,431,380,632,859,854,604,361,257,245,256,42,14,8155
가락시장,하차,어린이,0,3,2,22,47,55,100,74,119,101,162,157,251,184,201,90,62,44,9,12,1695
가락시장,하차,외국인,0,0,1,4,5,0,3,14,10,9,4,8,14,19,23,7,7,6,1,0,135
가락시장,하차,우대권,2073,5917,5923,7636,9287,11856,13474,12782,12345,13302,14125,13568,11422,8468,5175,4027,3141,2157,899,230,157807
가락시장,하차,일반,1344,7238,22168,61108,24233,12767,11568,12748,14577,13689,15495,21996,32203,46702,31588,19391,16659,14324,9358,3268,392424
가락시장,하차,중고생,0,0,0,0,2,2,0,0,0,2,0,3,0,1,1,1,0,0,0,1,13
가락시장,하차,청소년,2,50,282,1395,356,334,325,491,491,403,643,906,815,604,514,453,521,993,200,43,9821
가산디지털단지,승차,어린이,0,0,18,22,22,39,27,80,92,112,187,212,188,187,101,70,49,8,1,0,1415
가산디지털단지,승차,외국인,1,1,4,11,16,9,22,35,13,28,42,30,32,16,12,9,19,5,0,0,305
가산디지털단지,승차,우대권,1285,2549,2233,2471,2816,3990,4699,5823,6644,8101,11889,12341,12876,10018,5126,3157,2247,1065,433,67,99830
가산디지털단지,승차,일반,5938,7462,22551,26701,18997,15000,19066,25521,28452,33573,41497,69487,208818,291757,112944,63758,48778,26620,11468,1553,1079941
가산디지털단지,승차,중고생,0,0,1,0,0,0,0,2,3,1,3,1,4,10,0,1,0,0,0,0,26
가산디지털단지,승차,청소년,3,78,312,251,155,112,152,273,254,272,439,508,1127,1001,420,316,249,139,66,18,6145
가산디지털단지,하차,어린이,0,4,6,75,38,88,146,151,138,167,173,144,120,92,44,28,27,12,3,0,1456
가산디지털단지,하차,외국인,1,1,3,5,9,15,27,27,28,32,20,20,17,22,17,11,13,12,7,1,288
가산디지털단지,하차,우대권,2741,6294,7202,11163,10593,8268,6928,6870,6953,6264,5911,4692,3483,2496,1529,1090,760,511,305,125,94178
가산디지털단지,하차,일반,2423,24330,134601,368360,209845,53053,28675,27768,28548,23929,22745,22589,27101,33193,24412,14872,12784,11682,7655,2811,1081376
가산디지털단지,하차,중고생,0,0,0,2,0,1,1,2,2,2,1,1,0,1,1,1,2,0,0,0,17
가산디지털단지,하차,청소년,2,26,508,1069,538,186,238,295,394,294,429,490,595,346,245,178,175,145,89,18,6260
강남,승차,어린이,2,20,65,117,153,195,238,311,371,522,489,508,451,391,264,215,117,82,11,2,4524
강남,승차,외국인,8,6,11,55,103,152,242,305,366,397,518,574,583,478,432,370,312,226,98,5,5241
강남,승차,우대권,1699,4325,3721,3982,5806,9176,11103,11219,12215,18152,21632,16681,13800,9117,6883,5834,5014,2881,869,160,164269
강남,승차,일반,6319,13272,34660,59112,49956,45860,59652,75034,88102,95987,117211,148125,236200,300087,201444,153648,168103,147228,72408,12717,2085125
강남,승차,중고생,0,0,2,4,1,2,7,6,9,12,10,12,12,18,13,7,26,9,4,2,156
강남,승차,청소년,47,142,827,1099,1054,1011,1480,2053,2515,2814,3212,3963,4714,4318,3505,3674,5113,4787,757,69,47154
강남,하차,어린이,0,2,45,92,155,258,294,294,394,390,421,372,413,330,264,121,132,76,8,3,4064
강남,하차,외국인,1,2,7,34,184,380,339,361,436,415,381,407,408,364,294,285,177,123,51,16,4665
강남,하차,우대권,5378,11528,7883,9577,12559,12501,11376,9629,11415,11208,10022,8735,7654,5144,3264,2580,1792,1006,466,190,143907
강남,하차,일반,6427,45517,139498,297935,306165,144004,91965,90171,101803,91976,87763,97944,132020,175458,103311,56168,46042,38101,22347,6710,2081325
강남,하차,중고생,0,0,0,1,6,16,5,9,9,13,7,16,29,15,7,7,5,2,1,1,149
강남,하차,청소년,18,102,599,1359,2915,2351,2423,3400,3816,3601,3799,4445,5055,5277,2861,1915,1916,1419,477,89,47837
강남구청,승차,어린이,2,1,22,25,38,37,41,65,97,86,119,123,144,96,80,49,40,20,1,0,1086
강남구청,승차,외국인,0,0,0,0,0,5,11,8,19,27,13,11,9,15,18,27,7,4,0,0,174
강남구청,승차,우대권,663,1410,1438,1766,2641,3437,3730,3962,4040,5304,6602,5610,5281,4030,2809,2064,1675,741,206,65,57474
강남구청,승차,일반,1192,2727,6090,8842,7541,6657,8606,11373,13937,17105,21238,27945,49997,83127,49179,30878,29292,20407,9036,1586,406755
강남구청,승차,중고생,0,13,1,0,0,1,2,0,0,1,1,2,1,3,2,2,1,2,0,0,32
강남구청,승차,청소년,8,56,364,267,224,221,231,283,386,408,547,732,627,588,546,452,553,527,95,1,7116
강남구청,하차,어린이,0,0,1,68,53,81,60,63,65,103,176,132,114,99,51,23,34,18,0,1,1142
강남구청,하차,외국인,0,0,0,3,7,8,6,21,22,9,24,26,21,29,16,13,4,5,2,0,216
강남구청,하차,우대권,1188,5274,4125,5225,5454,4654,4082,3735,4133,3994,4009,3575,3180,2201,1386,1219,807,449,210,90,58990
