역명,승하차구분,승객유형,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,합계
가락시장,승차,어린이,2,2,15,147,41,99,115,123,141,165,183,161,127,125,63,60,29,25,2,2,1627
가락시장,승차,외국인,0,0,2,0,0,5,19,5,4,12,6,1,3,8,3,0,1,3,0,0,72
가락시장,승차,우대권,2019,3447,5399,6990,9403,11984,12828,11879,11628,12453,13269,11744,9548,7460,5177,4127,3116,1974,733,187,145365
가락시장,승차,일반,3696,8507,24401,26365,16690,12092,11811,13174,13445,13366,14666,18020,28528,41702,17758,14997,14368,11871,5025,1073,311555
가락시장,승차,중고생,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,1,0,0,0,0,6
가락시장,승차,청소년,8,127,983,348,271,269,263,378,385,342,523,737,732,529,293,261,255,177,64,9,6954
가락시장,하차,어린이,0,2,3,17,19,54,62,107,129,122,140,183,203,171,165,105,72,70,19,7,1650
가락시장,하차,외국인,0,1,2,3,2,3,6,6,7,6,1,3,2,7,2,4,2,1,1,1,60
가락시장,하차,우대권,2040,6101,5709,7685,9578,11842,12602,11555,10821,11567,12279,11799,10255,7705,4860,3837,2694,1918,832,197,145876
가락시장,하차,일반,1319,6789,19851,52297,19606,11224,10314,11067,12306,12252,13592,17387,24821,35348,25816,16877,14374,12705,8142,2741,328828
가락시장,하차,중고생,0,0,0,0,1,0,0,1,1,1,0,1,2,0,0,0,0,0,0,0,7
가락시장,하차,청소년,0,54,376,1247,197,222,283,406,297,282,506,856,650,505,480,386,451,1104,222,54,8578
가산디지털단지,승차,어린이,0,2,3,28,19,24,30,71,109,112,127,158,181,159,103,64,42,8,1,1,1242
가산디지털단지,승차,외국인,0,1,4,9,11,18,26,34,34,35,39,26,31,26,44,19,12,5,1,0,375
가산디지털단지,승차,우대권,1251,2377,2038,2284,2674,3583,4262,4946,5835,7092,10099,10089,10656,8857,4688,2941,2123,935,369,58,87157
가산디지털단지,승차,일반,4839,6667,20038,23700,16416,13760,17361,23215,26219,31120,39276,60306,175495,248461,98737,55816,41699,23005,10039,1274,937443
가산디지털단지,승차,중고생,0,0,1,1,0,0,0,0,2,0,1,2,0,0,5,0,2,0,0,0,14
가산디지털단지,승차,청소년,9,55,270,247,119,139,202,170,209,252,364,439,760,825,415,295,225,119,86,12,5212
가산디지털단지,하차,어린이,0,2,13,69,28,88,101,123,109,143,130,123,128,80,49,36,14,11,5,1,1253
가산디지털단지,하차,외국인,0,0,1,3,9,28,21,16,25,18,10,28,27,22,19,10,13,7,15,8,280
가산디지털단지,하차,우대권,2317,5598,6605,10376,9445,7542,5753,5781,5971,4981,4674,4019,3103,2181,1482,1043,743,493,264,76,82447
가산디지털단지,하차,일반,2194,20961,121069,323204,177585,43778,24882,23276,24046,20825,20056,19724,23669,29581,20895,13896,11521,10668,7286,2670,941786
가산디지털단지,하차,중고생,0,0,0,0,0,1,1,0,5,1,1,2,1,0,1,0,1,0,0,0,14
가산디지털단지,하차,청소년,1,46,547,806,484,154,170,194,223,222,419,431,522,396,248,193,181,169,89,42,5537
강남,승차,어린이,2,6,32,76,147,201,262,357,448,429,409,486,502,368,232,218,141,57,24,1,4398
강남,승차,외국인,7,5,19,40,96,166,204,287,346,438,456,481,538,486,308,275,276,237,81,17,4763
강남,승차,우대권,1674,4125,3336,3617,5397,7972,10010,9559,10560,15364,17857,14888,11868,8586,6254,5376,4386,2409,725,140,144103
강남,승차,일반,5677,11686,30796,51944,42401,40852,53570,68495,80148,87042,106741,134508,210029,265912,179344,137009,149816,132506,62171,10398,1861045
강남,승차,중고생,0,0,1,2,1,3,6,7,8,24,13,7,17,15,17,8,14,9,7,1,160
강남,승차,청소년,49,105,550,558,671,730,1073,1869,2124,2037,2543,3267,4596,3913,3113,3243,5225,5880,780,73,42399
강남,하차,어린이,0,4,31,63,175,237,306,323,377,402,340,377,441,319,229,189,148,76,11,5,4053
강남,하차,외국인,0,1,15,21,140,321,322,365,378,366,425,375,393,356,254,228,144,111,65,19,4299
강남,하차,우대권,4471,10781,7185,8578,10966,10790,9970,8666,9903,9594,8541,7398,6428,4514,2998,2259,1702,864,489,141,126238
강남,하차,일반,5390,43454,132343,264286,265187,122985,82057,81731,92689,85734,79126,87647,116815,149511,92388,50696,42678,36044,20425,5456,1856642
강남,하차,중고생,0,0,5,2,21,18,9,4,11,8,6,6,27,19,0,3,4,2,0,2,147
강남,하차,청소년,26,164,1770,1337,2558,2144,2032,2537,3011,2742,2870,3820,4861,4756,2486,1444,1458,1616,538,74,42244
강남구청,승차,어린이,0,3,39,33,29,20,43,61,100,69,105,132,123,95,99,33,24,16,0,0,1024
강남구청,승차,외국인,0,1,2,0,2,10,8,8,16,17,20,20,18,20,18,12,10,4,1,2,189
강남구청,승차,우대권,506,1448,1345,1668,2452,3084,3256,3298,3592,4612,5405,4723,4400,3505,2505,1626,1482,628,182,37,49754
강남구청,승차,일반,1044,2430,5164,7575,6137,5596,7573,9792,12145,14339,18154,23704,41446,70970,42862,26967,24713,17947,7591,1375,347524
강남구청,승차,중고생,0,16,1,2,0,0,0,1,3,0,1,2,2,0,1,0,0,0,0,0,29
강남구청,승차,청소년,1,37,284,160,127,93,132,184,347,262,491,700,517,425,391,370,490,635,112,8,5766
강남구청,하차,어린이,0,2,8,50,37,71,62,46,70,78,173,130,119,104,64,64,26,27,1,0,1132
강남구청,하차,외국인,0,0,1,6,7,7,8,14,19,16,28,20,12,29,31,10,5,2,1,0,216
강남구청,하차,우대권,1016,4602,3772,4573,4546,4165,3656,3491,3697,3341,3194,3011,2467,1992,1420,1113,710,397,190,63,51416
강남구청,하차,일반,553,9710,29093,84882,81223,32063,17923,15502,15923,14098,12854,13192,14638,16880,10685,7115,5670,4570,3263,1571,391408
강남구청,하차,중고생,0,0,0,0,2,1,0,3,0,2,2,5,8,3,1,2,1,4,2,0,36
강남구청,하차,청소년,2,39,462,286,499,376,284,331,403,324,438,588,620,437,231,180,181,251,84,27,6043
강동,승차,어린이,1,5,37,143,121,138,119,163,150,177,214,187,168,104,57,55,30,12,2,0,1883
강동,승차,외국인,6,0,1,3,2,9,2,5,1,1,0,1,7,2,1,1,0,0,0,0,42
강동,승차,우대권,4243,4306,5211,7306,7928,8817,8415,8549,7400,8175,8724,9333,7743,5012,3512,2460,1493,940,314,38,109919
강동,승차,일반,6324,14684,44020,55425,26055,16581,15516,17793,16508,15446,17036,20046,31020,35577,17163,11880,10145,7583,3239,628,382669
강동,승차,중고생,0,0,4,1,3,4,0,3,0,1,0,2,1,0,0,0,0,0,0,0,19
강동,승차,청소년,25,212,1709,366,304,263,311,367,351,296,468,587,547,441,343,307,235,231,110,17,7490
강동,하차,어린이,0,22,18,63,68,66,80,119,119,174,256,215,197,178,158,117,48,31,20,4,1953
강동,하차,외국인,0,0,0,8,1,2,2,1,7,2,2,4,11,0,9,3,6,2,2,0,62
