역명,승하차구분,미성년_아침_유동인구,미성년_점심_유동인구,미성년_저녁_유동인구,성인_아침_유동인구,성인_점심_유동인구,성인_저녁_유동인구,노인_아침_유동인구,노인_점심_유동인구,노인_저녁_유동인구,외국인_아침_유동인구,외국인_점심_유동인구,외국인_저녁_유동인구,총유동인구
가락시장역,승차,2545,5525,2414,103376,136792,144062,38324,98155,27225,3,56,10,558487
가락시장역,하차,2580,5509,4292,124983,134070,149548,40281,97566,25020,5,39,23,583916
가산디지털단지역,승차,986,4038,2925,91115,426824,534924,14732,63271,22167,25,129,103,1161239
가산디지털단지역,하차,2401,4208,1561,764725,183902,107525,45935,41780,6896,22,214,69,1159238
강남구청역,승차,1229,4167,3104,30700,148575,217952,10658,34533,11656,13,82,56,462725
강남구청역,하차,2096,5126,1863,265782,124621,58401,24491,26600,6253,14,107,47,515401
강남역,승차,5953,34274,28949,205132,852481,1083264,28092,110275,33138,217,3013,1822,2386610
강남역,하차,9513,39603,20193,906913,743888,475677,59042,76668,15545,567,2894,1325,2351828
강동구청역,승차,3054,5528,1758,97286,80606,55683,27419,41000,8408,3,25,6,320776
강동구청역,하차,1469,5366,3494,66494,73672,100754,18460,43414,15854,7,16,3,329003
강동역,승차,4145,5178,2327,177406,153747,97040,39230,68476,15307,7,15,1,562879
강동역,하차,1577,6268,4031,111070,122290,180534,31168,66720,21667,9,24,13,545371
강변역,승차,10904,20951,6481,285225,289864,151664,38296,65235,17473,90,300,157,886640
강변역,하차,3186,16558,16597,119065,281233,275349,28056,67290,20578,46,299,160,828417
강일역,승차,4745,6085,1230,66855,40049,16443,23213,22346,3660,1,3,1,184631
강일역,하차,592,5611,5861,16531,29834,63186,8755,26275,12339,0,0,1,168985
개롱역,승차,4531,8286,1943,60454,44025,24330,21746,29436,5717,0,0,0,200468
개롱역,하차,2868,6202,4544,26527,41364,66718,12477,32545,13444,2,2,4,206697
개화산역,승차,2129,2797,727,62246,44067,27175,18730,22280,4563,4,8,1,184727
개화산역,하차,346,2595,2539,29199,35797,61352,10070,24367,9056,2,12,2,175337
거여역,승차,6024,6594,1688,114970,68849,32386,31986,36583,6481,2,1,0,305564
거여역,하차,2664,6794,5554,32215,61067,113054,14688,39555,18349,0,1,2,293943
건대입구역,승차,5867,28723,28201,307751,516871,538687,44446,97404,29496,131,738,373,1598688
건대입구역,하차,7242,42767,17526,277136,579325,583945,45236,97435,27492,82,603,483,1679272
경복궁역,승차,3890,20788,6168,61128,315331,263688,15681,64313,20266,335,6723,895,779206
경복궁역,하차,12032,14971,4629,271862,286124,107135,32108,57540,10441,2404,5700,558,805504
경찰병원역,승차,1607,2383,678,69389,56892,36999,16660,26523,5891,0,7,3,217032
경찰병원역,하차,430,2137,2358,50922,45901,65618,13228,27929,9937,0,1,2,218463
고덕역,승차,6109,19082,8735,73782,82744,43282,23462,52025,7501,11,21,8,316762
고덕역,하차,5974,13839,8804,50002,62500,81324,26119,42039,12610,5,8,16,303240
고려대역,승차,1892,3799,1062,68184,94913,58198,13067,19312,4934,42,75,36,265514
고려대역,하차,2907,2628,1634,59240,66890,83292,9781,19061,8228,3,90,67,253821
고속터미널역,승차,14805,36681,18071,237236,916029,691864,46139,221375,65562,171,2083,1266,2251282
고속터미널역,하차,6097,34416,21274,467882,840394,383073,85614,193187,28418,306,1626,468,2062755
공덕역,승차,4621,13033,5020,163885,324306,362101,32318,85784,28385,767,1675,454,1022349
공덕역,하차,7499,10031,5578,351745,256467,247300,39540,78410,20370,166,1185,1549,1019840
공릉역,승차,3371,8777,2407,108626,102608,65028,30322,43624,9206,6,12,5,373992
공릉역,하차,4560,5530,4431,48120,90212,131058,17512,49347,17207,6,3,6,367992
광나루역,승차,5610,10726,3129,95626,97911,66070,18662,43052,10127,42,82,88,351125
광나루역,하차,5373,9332,5610,59639,85985,97416,24726,36039,10585,4,108,88,334905
광명사거리역,승차,3882,9556,3702,224149,137320,74207,50471,97340,19522,6,30,16,620201
광명사거리역,하차,2156,6073,6912,71535,145028,205238,31119,113273,28119,11,24,12,609500
광화문역,승차,1965,21453,15032,44914,375900,523790,8930,99054,34736,167,1884,1247,1129072
광화문역,하차,11256,19910,7059,526988,337191,134760,40024,94121,9707,552,1888,830,1184286
광흥창역,승차,3138,5188,2288,68453,81123,72773,18038,35519,5999,14,52,23,292608
광흥창역,하차,2045,5383,2929,66016,68026,75288,17537,31884,9080,8,40,52,278288
교대역,승차,5751,15894,7479,148641,459170,498728,36323,162307,66032,44,431,234,1401034
교대역,하차,4908,15172,9071,482404,361558,242809,76254,153458,24052,62,430,281,1370459
구로디지털단지역,승차,7757,12449,4486,531007,475014,437269,59574,116955,39559,212,346,96,1684724
구로디지털단지역,하차,2416,10547,10934,456518,386185,581097,53785,125517,36813,28,194,365,1664399
구산역,승차,3324,8091,3295,98339,56150,21525,23263,30414,4599,1,3,5,249009
구산역,하차,3249,4346,2876,14191,36098,65586,9350,37158,14300,1,2,7,187164
구의역,승차,6154,8999,4113,282482,217070,128673,43383,58978,15126,29,101,64,765172
구의역,하차,1596,9553,7506,117792,185371,305517,24318,68731,24880,8,85,97,745454
구파발역,승차,8209,17232,6615,239793,168043,82485,45471,83583,13860,0,102,54,665447
구파발역,하차,4658,16879,11246,75627,160821,237981,32596,77923,25618,37,137,8,643531
군자역,승차,5549,6948,3895,261652,216582,181604,42941,72410,24759,33,93,50,816516
군자역,하차,1597,8957,5099,113781,202632,297128,28582,77596,24903,20,61,69,760425
굽은다리역,승차,2704,7047,3681,95429,70106,40510,33795,48129,10606,0,8,1,312016
굽은다리역,하차,1941,6689,4496,29670,65760,103483,16556,51134,19692,0,4,1,299426
금호역,승차,2721,2942,904,89662,57931,31270,22891,28560,5089,7,34,9,242020
금호역,하차,553,3826,2466,20942,58885,87896,10224,32638,12980,3,29,25,230467
길동역,승차,1928,3344,1777,68483,61208,38471,26870,51223,10897,34,70,14,264319
길동역,하차,813,3592,2547,35841,57145,80577,22340,53621,15038,1,23,78,271616
길음역,승차,10234,15095,5382,242813,166732,77787,50076,66649,12929,10,28,29,647764
길음역,하차,3810,15869,12792,75618,157644,247977,22849,77227,29197,9,25,49,643066
김포공항역,승차,1912,10585,6840,64042,141106,117079,9295,37354,11113,131,2529,1245,403231
김포공항역,하차,2639,8935,2670,71617,92759,34953,11989,30321,4304,301,529,147,261164
까치산역,승차,8608,10091,3728,372310,186339,81544,75978,78218,13592,40,95,17,830560
까치산역,하차,2371,10565,9041,52153,183015,370948,24161,99953,45454,6,63,105,797835
낙성대역,승차,5341,10322,4101,315926,236169,138979,43605,61633,12533,34,71,33,828747
낙성대역,하차,4886,7441,5409,101914,203760,357970,25372,68202,25668,12,53,75,800762
남구로역,승차,2775,2697,1201,112478,112762,122368,23459,33720,9371,43,57,20,420951
