역명,승하차구분,미성년_아침_유동인구,미성년_점심_유동인구,미성년_저녁_유동인구,성인_아침_유동인구,성인_점심_유동인구,성인_저녁_유동인구,노인_아침_유동인구,노인_점심_유동인구,노인_저녁_유동인구,외국인_아침_유동인구,외국인_점심_유동인구,외국인_저녁_유동인구,총유동인구
가락시장역,승차,3186,5239,2162,105339,121189,118409,38750,89373,24444,10,48,38,508187
가락시장역,하차,2585,4616,4891,121010,109256,130087,40127,87524,23409,3,37,47,523592
가산디지털단지역,승차,1282,3591,3212,97118,410665,560899,15514,66746,22517,55,227,144,1181970
가산디지털단지역,하차,2491,3954,1855,780235,181709,108033,49074,43463,7106,41,234,62,1178257
강남구청역,승차,962,4270,3423,32186,142019,226026,10997,33213,11582,9,136,73,464896
강남구청역,하차,2531,4495,2052,270702,119263,55536,25162,25670,6308,32,129,42,511922
강남역,승차,4725,25606,31520,210453,830494,1098997,28885,104578,33659,319,3239,2085,2374560
강남역,하차,13359,29205,16638,932787,711727,452464,59198,71629,15201,543,3081,1561,2307393
강동구청역,승차,3154,4755,1547,104713,72213,52292,27157,35803,8189,9,41,16,309889
강동구청역,하차,1338,4260,3926,61360,68995,106020,17819,39435,15160,3,29,10,318355
강동역,승차,4175,4425,2251,181655,142444,92694,39103,60131,15221,43,36,11,542189
강동역,하차,1400,5665,4646,102400,117361,182484,28511,62279,21064,3,67,13,525893
강변역,승차,9008,16455,6897,333171,288221,158687,41282,65274,18736,147,290,159,938327
강변역,하차,2326,13567,14661,120547,293592,320863,30025,68558,21893,80,310,170,886592
강일역,승차,4574,4431,1235,68297,36565,15720,23290,21594,3807,0,20,0,179533
강일역,하차,344,4235,5773,17093,28774,62408,8588,25488,12514,1,1,3,165222
개롱역,승차,3521,8611,3043,63512,41518,24773,21413,28105,6182,14,2,3,200697
개롱역,하차,2640,5848,5663,27550,40746,67717,13540,31297,12322,0,2,4,207329
개화산역,승차,2491,2786,1009,59043,41435,26751,18055,21698,4217,3,8,1,177497
개화산역,하차,374,2584,3213,30980,32797,57475,10959,23054,9043,2,5,12,170498
거여역,승차,7049,6716,1848,122039,64174,32165,31852,33816,6517,3,1,1,306181
거여역,하차,2469,7748,6988,32492,60302,116439,14867,37876,17493,0,1,1,296676
건대입구역,승차,7604,25142,32501,320336,502982,568444,45887,90641,28926,215,796,450,1623924
건대입구역,하차,8363,36963,24463,295923,573637,585370,44821,91851,27381,110,679,609,1690170
경복궁역,승차,2622,22763,6405,66777,327910,270585,17729,65308,17974,532,7515,1158,807278
경복궁역,하차,11882,13820,4221,315333,279573,86862,36965,51764,9557,3922,6295,421,820615
경찰병원역,승차,2093,2274,744,73657,55886,38626,16381,24613,5738,1,7,0,220020
경찰병원역,하차,305,2144,2898,53538,45289,67002,12748,25985,9706,0,2,5,219622
고덕역,승차,3549,16965,10963,84319,75467,43460,24191,50369,8302,13,28,2,317628
고덕역,하차,6970,10685,8043,47762,64341,90222,25571,42633,13427,2,18,9,309683
고려대역,승차,1902,5188,1689,71469,97758,67104,13991,19379,5027,25,78,29,283639
고려대역,하차,3163,3687,2179,71230,69559,87474,10164,19024,8333,23,47,47,274930
고속터미널역,승차,10369,31088,20837,234138,830604,676128,45574,200766,64443,262,2131,1414,2117754
고속터미널역,하차,6322,29634,17054,460433,760267,354390,82551,177872,27107,407,1831,634,1918502
공덕역,승차,4238,13426,5433,176570,302491,342265,33848,77484,26543,893,1433,574,985198
공덕역,하차,8546,8291,6066,353020,232083,241667,39406,70834,19398,190,1364,1708,982573
공릉역,승차,3547,11462,5419,110801,104703,73895,30378,40080,9134,1,5,7,389432
공릉역,하차,6848,6127,6041,57678,90596,134598,17627,45560,16997,5,5,4,382086
광나루역,승차,4994,10234,3489,137325,113106,75875,23770,47313,11583,48,130,144,428011
광나루역,하차,4960,8521,7206,73260,102063,125482,29409,39550,12412,25,199,120,403207
광명사거리역,승차,5734,8617,3820,229223,132272,75048,50525,93797,20833,6,19,17,619911
광명사거리역,하차,2444,6883,7443,71416,144486,209534,31771,109888,28794,7,20,11,612697
광화문역,승차,860,13415,7601,46007,325193,452670,8516,72850,21143,314,1882,633,951084
광화문역,하차,6185,13213,2811,537525,252212,83148,39126,56245,6166,709,1757,496,999593
광흥창역,승차,3417,5084,1861,72449,71910,64745,18087,33675,5639,23,74,44,277008
광흥창역,하차,2262,4416,3901,66755,56341,74841,18864,28894,8890,12,39,61,265276
교대역,승차,5066,14260,13722,156698,432358,505570,37680,151947,58530,97,462,229,1376619
교대역,하차,9390,14290,10011,501189,343687,237186,76696,139674,22608,95,433,337,1355596
구로디지털단지역,승차,7758,10113,4469,538202,452202,439772,60500,102990,39011,417,566,127,1656127
구로디지털단지역,하차,2407,8663,10441,465126,369594,577637,51262,113445,37390,45,315,743,1637068
구산역,승차,2673,8491,5420,100448,51261,22268,24449,29897,4596,1,6,1,249511
구산역,하차,4673,5169,3025,14456,36075,66076,10020,36129,15113,2,3,3,190744
구의역,승차,5669,7902,3793,297774,199256,119034,44637,55334,14085,35,102,54,747675
구의역,하차,1492,8023,7703,106325,179136,310293,24011,65510,25007,27,100,58,727685
구파발역,승차,7716,14106,5753,254814,159332,80452,45415,76694,14162,11,91,39,658585
구파발역,하차,3650,14322,11485,86641,154027,238295,34923,72272,24285,36,98,35,640069
군자역,승차,5945,6740,4462,275359,208587,181997,44369,68948,25249,35,128,51,821870
군자역,하차,1653,8756,6490,121871,193601,296926,30692,72483,24820,23,107,79,757501
굽은다리역,승차,2998,4475,3312,101239,65111,39861,33618,43832,9567,3,15,11,304042
굽은다리역,하차,1079,5795,4359,29793,65104,106046,16765,45802,18842,2,15,4,293606
금호역,승차,3132,2746,812,95202,56601,29639,23808,28920,5841,4,47,20,246772
금호역,하차,407,3520,2937,19935,56609,88078,11412,32448,13183,5,44,9,228587
길동역,승차,1994,2589,1921,68297,56935,36553,26500,46929,10966,18,40,6,252748
길동역,하차,814,3259,2472,34993,54983,78615,21225,50022,14931,0,25,27,261366
길음역,승차,11338,17733,8842,255187,168666,86761,53034,65690,13660,28,38,27,681004
길음역,하차,8015,19207,14805,91090,160017,248786,24304,77355,30187,9,26,58,673859
김포공항역,승차,1567,5424,3948,53305,91170,84582,8245,29961,10098,80,1293,550,290223
김포공항역,하차,1316,6421,2164,66954,82516,30326,12528,28476,3879,322,698,164,235764
까치산역,승차,10370,10052,4009,388971,181912,82868,77673,76753,14523,22,83,21,847257
까치산역,하차,2684,10895,10538,54301,181957,383533,25539,98747,46393,10,53,80,814730
낙성대역,승차,5127,14453,6867,327210,235005,148395,44814,58983,13574,25,47,27,854527
낙성대역,하차,7188,7984,8687,117557,200062,369567,26426,66687,26441,9,41,45,830694
남구로역,승차,3219,2534,1285,115515,111200,129138,24092,32497,9805,63,70,28,429446
남구로역,하차,828,3447,2440,175073,99361,99324,19229,34666,12960,24,121,50,447523
남부터미널역,승차,4763,13945,11287,129913,308038,284478,28494,75724,27671,183,462,143,885101
남부터미널역,하차,4650,17708,8232,327869,245636,161803,50335,66916,15877,59,285,290,899660
남성역,승차,2734,4086,2704,135884,79679,44014,33927,41066,7690,0,3,1,351788
남성역,하차,1716,3781,3346,38435,76813,128169,16773,47418,18464,2,8,0,334925
남위례역,승차,1923,8310,2284,66108,55809,43188,13368,19164,4589,3,19,6,214771
남위례역,하차,5896,3820,3547,44157,50323,71675,9108,19087,8187,6,10,12,215828
남태령역,승차,436,1422,191,10909,13919,8203,3273,5337,590,0,2,2,44284
남태령역,하차,953,244,194,13054,6421,6859,2004,4757,1783,0,3,2,36274
남한산성입구역,승차,10577,11600,2943,164446,111611,45863,38725,37612,6305,0,7,1,429690
남한산성입구역,하차,6287,9362,6848,70800,79635,143059,15415,44739,18692,2,3,1,394843
내방역,승차,1869,4974,3394,76186,120759,138708,21013,43944,12498,11,52,10,423418
