역명,승하차구분,미성년_아침_유동인구,미성년_점심_유동인구,미성년_저녁_유동인구,성인_아침_유동인구,성인_점심_유동인구,성인_저녁_유동인구,노인_아침_유동인구,노인_점심_유동인구,노인_저녁_유동인구,외국인_아침_유동인구,외국인_점심_유동인구,외국인_저녁_유동인구,총유동인구
가락시장역,승차,3099,4430,2070,106438,117299,119231,40685,87478,24201,11.0,50.0,39.0,505031.0
가락시장역,하차,2615,4278,4341,124229,106251,129505,41350,85084,24208,5.0,45.0,47.0,521958.0
가산디지털단지역,승차,1261,3110,2895,99836,416784,570982,15519,66214,23160,32.0,181.0,120.0,1200094.0
가산디지털단지역,하차,2534,3383,1679,812325,179563,111119,50057,43034,7292,60.0,198.0,55.0,1211299.0
강남구청역,승차,1099,3438,2711,32460,140297,226062,11053,32925,11793,7.0,114.0,80.0,462039.0
강남구청역,하차,2090,3977,1886,276012,115098,55252,25207,25170,6620,26.0,142.0,58.0,511538.0
강남역,승차,4235,22059,28441,209918,811341,1075182,29163,102986,32773,352.0,3089.0,2096.0,2321635.0
강남역,하차,12714,24996,15379,959453,659350,441719,59526,69347,15082,522.0,3075.0,1502.0,2262665.0
강동구청역,승차,2978,4292,1363,107023,69428,50895,27899,35780,8149,3.0,25.0,16.0,307851.0
강동구청역,하차,1370,3883,3209,61850,67928,103873,18187,38834,15623,1.0,16.0,10.0,314784.0
강동역,승차,4099,4007,1925,185869,136315,90195,40186,59289,15601,50.0,20.0,7.0,537563.0
강동역,하차,1376,5385,4288,103090,111809,180136,29759,60966,21722,2.0,57.0,24.0,518614.0
강변역,승차,7512,13461,5679,339391,275401,160082,43806,65476,21879,178.0,399.0,175.0,933439.0
강변역,하차,2096,11108,12227,124500,283073,325634,35069,69520,23363,91.0,318.0,256.0,887255.0
강일역,승차,4332,4000,1027,72577,35532,16536,24491,20917,4013,0.0,6.0,0.0,183431.0
강일역,하차,310,3932,5037,17809,29731,64420,9061,25325,12913,2.0,1.0,0.0,168541.0
개롱역,승차,4079,8010,2513,64737,39698,24163,22103,27353,5928,2.0,3.0,0.0,198589.0
개롱역,하차,2792,5584,5194,26619,40303,66708,13390,30784,12589,0.0,0.0,3.0,203966.0
개화산역,승차,2480,2411,845,60675,41242,27095,18428,21821,4477,3.0,12.0,2.0,179491.0
개화산역,하차,397,2255,2816,31959,32669,56892,11184,22915,9288,4.0,5.0,19.0,170403.0
거여역,승차,6828,5681,1881,124297,62184,31354,32773,32744,6847,0.0,5.0,1.0,304595.0
거여역,하차,2814,6979,6158,32743,59770,116675,15040,37417,18089,2.0,2.0,1.0,295690.0
건대입구역,승차,6999,20704,24621,325321,478530,543807,47302,87498,28163,234.0,824.0,498.0,1564501.0
건대입구역,하차,7220,28351,20310,288927,533318,580100,44840,87931,28018,104.0,791.0,613.0,1620523.0
경복궁역,승차,3032,21796,6138,64922,326542,272953,17899,66548,18564,426.0,6882.0,1253.0,806955.0
경복궁역,하차,13117,12721,3775,331721,273322,87290,40019,52585,9909,3457.0,6443.0,484.0,834843.0
