역명,승하차구분,승객유형,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,합계
가락시장,승차,어린이,1,2,15,109,100,123,127,159,188,148,183,134,144,119,60,56,51,35,4,0,1758
가락시장,승차,외국인,0,0,5,4,5,5,2,3,7,5,12,12,19,6,2,10,12,2,0,1,112
가락시장,승차,우대권,2197,3710,5814,7092,9230,11179,11920,10752,10278,10871,12107,10872,9686,7918,5100,4143,3092,2035,750,206,138952
가락시장,승차,일반,4268,9596,25887,28056,17017,11942,11452,12823,13178,12968,14483,17856,29999,46193,18271,15264,14563,11309,4981,1065,321171
가락시장,승차,중고생,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
가락시장,승차,청소년,24,85,909,302,298,255,273,502,477,358,509,863,1010,520,345,306,221,208,72,7,7544
가락시장,하차,어린이,0,0,4,35,43,62,109,106,157,108,160,178,222,212,163,126,85,76,23,9,1878
가락시장,하차,외국인,0,0,0,0,1,0,2,5,7,9,10,7,15,20,7,6,2,3,3,1,98
가락시장,하차,우대권,2281,6599,6199,7610,8629,10665,11043,10328,9492,10441,10853,11014,10206,7788,5029,3862,2707,1918,813,219,137696
가락시장,하차,일반,1282,7383,21220,56186,20335,11251,10057,10733,12122,11667,12600,16113,23838,36667,26224,17390,14596,12985,8281,2973,333903
가락시장,하차,중고생,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,5
가락시장,하차,청소년,3,51,350,901,304,171,228,301,398,356,601,841,768,573,534,427,511,1338,256,67,8979
가산디지털단지,승차,어린이,3,2,3,13,31,81,77,103,119,170,190,197,223,175,131,117,53,15,3,0,1706
가산디지털단지,승차,외국인,3,0,5,8,4,15,15,26,28,25,37,30,76,38,36,41,23,5,3,0,418
가산디지털단지,승차,우대권,1305,2638,2199,2396,2783,3664,4422,5296,5818,7489,10914,10832,11844,9744,5128,3311,2406,1114,423,72,93798
가산디지털단지,승차,일반,5695,7334,21383,24734,17353,14474,17500,22772,25615,29915,37378,63381,200951,285087,109735,61527,45642,25329,10917,1320,1028042
가산디지털단지,승차,중고생,0,0,0,1,0,1,3,0,1,1,1,2,5,3,21,0,1,1,0,0,41
가산디지털단지,승차,청소년,11,86,218,187,120,158,219,266,270,338,415,454,709,766,420,367,265,196,104,27,5596
가산디지털단지,하차,어린이,0,1,23,72,59,163,207,197,193,176,186,148,130,110,78,50,23,14,7,1,1838
가산디지털단지,하차,외국인,0,0,0,5,1,19,25,39,31,25,37,38,32,19,18,18,8,7,10,9,341
가산디지털단지,하차,우대권,2576,6230,7539,10936,10114,8431,6542,6068,6303,4842,4569,4169,3328,2297,1481,1195,778,514,299,60,88271
가산디지털단지,하차,일반,2584,23914,135620,358585,196106,47893,26083,23934,24755,20977,19545,19596,24203,31462,22115,14264,11951,11026,7270,2643,1024526
가산디지털단지,하차,중고생,0,0,0,1,0,1,0,0,23,0,1,1,1,2,4,2,1,1,0,0,38
가산디지털단지,하차,청소년,2,56,430,591,511,258,256,310,338,292,435,434,470,365,196,186,195,195,119,31,5670
강남,승차,어린이,4,8,33,100,234,349,426,539,617,624,642,703,708,497,385,333,209,125,44,5,6585
강남,승차,외국인,1,1,9,22,67,139,226,290,433,397,434,543,535,470,398,300,355,249,106,10,4985
강남,승차,우대권,1899,4439,3602,3926,5430,8421,10427,10062,10628,15544,18631,14871,12778,9235,6273,5199,4630,2537,806,125,149463
강남,승차,일반,6206,13436,34586,55954,43799,42908,58592,75985,86930,95376,116800,149565,238338,303609,197110,152437,167982,153562,72730,12369,2078274
강남,승차,중고생,1,0,1,1,2,4,6,9,12,13,19,25,31,26,18,15,18,17,4,0,222
강남,승차,청소년,63,174,536,657,989,1246,1744,2973,3629,3489,4015,5137,6541,5348,4388,4590,6859,7552,1289,158,61377
강남,하차,어린이,1,6,30,99,301,429,505,477,555,493,564,583,572,434,378,296,310,199,39,9,6280
