역명,승하차구분,승객유형,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,합계
가락시장,승차,어린이,0,1,18,118,63,107,70,137,124,140,148,213,126,133,40,56,33,19,11,0,1557
가락시장,승차,외국인,0,0,5,2,2,3,6,0,8,3,15,5,9,2,1,6,5,2,2,0,76
가락시장,승차,우대권,2397,3894,5821,7354,10514,12622,13066,12144,12223,13332,14124,12290,10078,8037,5424,4479,3430,2206,828,244,154507
가락시장,승차,일반,4421,9944,27575,30193,19291,13795,12755,14186,14385,14371,16024,19158,30708,47687,19271,16202,15679,12749,5548,1139,345081
가락시장,승차,중고생,0,0,0,1,0,1,2,0,1,0,0,1,3,1,2,0,1,0,0,0,13
가락시장,승차,청소년,25,171,1462,596,403,291,302,519,441,361,580,1035,988,737,356,365,301,268,56,11,9268
가락시장,하차,어린이,1,1,4,11,26,47,77,104,109,103,142,164,194,151,128,130,101,61,16,1,1571
가락시장,하차,외국인,0,0,0,0,1,3,5,1,9,10,3,5,4,7,4,6,0,0,0,0,58
가락시장,하차,우대권,2186,6339,6400,7917,9086,11149,12666,12075,11701,12536,13265,12621,10987,8131,5399,4259,3287,2344,999,285,153632
가락시장,하차,일반,1414,8176,22092,59145,21506,11808,10710,12113,14020,13222,14486,18415,25931,38251,27916,18591,16569,14540,9080,3792,361777
가락시장,하차,중고생,0,0,0,11,2,2,2,3,0,1,2,1,3,0,1,0,0,0,0,0,28
가락시장,하차,청소년,1,64,518,1359,164,228,258,443,417,462,688,991,931,707,620,500,620,1412,317,119,10819
가산디지털단지,승차,어린이,5,0,11,53,36,48,45,76,113,124,133,164,134,184,102,106,36,5,1,0,1376
가산디지털단지,승차,외국인,3,5,3,7,7,33,24,22,30,21,25,43,46,33,24,23,22,6,0,0,377
가산디지털단지,승차,우대권,1294,2665,2143,2721,3005,4186,5033,5851,7340,8972,12430,12613,12306,9858,5492,3483,2286,1201,471,70,103420
가산디지털단지,승차,일반,6681,7913,22330,26886,18852,15788,19949,25834,29173,32601,40161,65713,197876,286228,111646,63112,48740,27651,12097,1610,1060841
가산디지털단지,승차,중고생,0,0,0,0,1,1,0,1,3,0,1,5,3,1,1,2,1,0,0,0,20
가산디지털단지,승차,청소년,8,64,419,284,210,196,229,285,251,288,414,514,745,931,555,427,326,169,109,24,6448
가산디지털단지,하차,어린이,0,0,9,90,36,87,113,144,145,148,120,102,142,107,63,56,25,13,8,0,1408
가산디지털단지,하차,외국인,0,0,2,4,9,34,29,41,28,32,24,11,29,19,10,6,10,22,10,6,326
가산디지털단지,하차,우대권,2643,6011,7788,11573,11145,9556,7234,7372,7750,6269,5664,4738,3638,2559,1670,1236,896,580,318,89,98729
가산디지털단지,하차,일반,2509,24296,137876,367625,198868,50090,28375,26727,28219,23904,21934,22521,26578,33037,23614,15085,13325,12382,8787,3255,1069007
가산디지털단지,하차,중고생,0,0,0,0,1,0,0,3,5,0,0,1,2,2,4,1,0,0,0,1,20
가산디지털단지,하차,청소년,4,23,583,888,552,207,225,312,341,358,502,582,613,464,268,231,226,174,163,55,6771
강남,승차,어린이,0,5,21,307,186,259,355,472,541,554,566,554,513,402,290,230,147,93,15,4,5514
강남,승차,외국인,2,6,14,36,62,154,243,284,375,417,475,521,494,439,380,355,334,264,110,10,4975
강남,승차,우대권,1986,4654,3654,4090,6589,9815,12295,11302,12445,17904,20546,16786,13787,9813,6996,6246,5289,3174,920,154,168445
강남,승차,일반,6509,13953,36793,59366,47260,45766,60791,76705,91134,96503,117244,146268,229105,304045,200503,154389,175254,150983,72860,12598,2098029
강남,승차,중고생,3,0,1,0,4,3,9,8,10,12,13,10,28,9,15,11,29,32,8,3,208
강남,승차,청소년,104,207,765,1127,1101,1110,1577,2421,2900,2959,3524,4590,6322,5155,4197,4490,6905,8340,1571,217,59582
강남,하차,어린이,1,15,28,134,258,273,338,433,441,540,481,441,454,343,247,185,195,97,38,1,4943
