역명,승하차구분,미성년_아침_유동인구,미성년_점심_유동인구,미성년_저녁_유동인구,성인_아침_유동인구,성인_점심_유동인구,성인_저녁_유동인구,노인_아침_유동인구,노인_점심_유동인구,노인_저녁_유동인구,외국인_아침_유동인구,외국인_점심_유동인구,외국인_저녁_유동인구,총유동인구
가락시장역,승차,3257,5191,2390,105219,121587,118275,42602.0,87257.0,24648.0,12.0,46.0,18.0,510502.0
가락시장역,하차,2439,5095,4884,124141,108897,128739,43077.0,85851.0,24704.0,4.0,37.0,17.0,527885.0
가산디지털단지역,승차,1336,3528,2980,98450,411307,551084,16014.0,64545.0,22861.0,58.0,211.0,108.0,1172482.0
가산디지털단지역,하차,2480,3858,1861,781264,178258,109485,48716.0,42665.0,7348.0,49.0,194.0,83.0,1176261.0
강남구청역,승차,1154,4099,3213,32471,142522,222962,11637.0,33646.0,11789.0,6.0,119.0,70.0,463688.0
강남구청역,하차,2295,4472,2168,270939,118836,55772,25950.0,26118.0,6612.0,29.0,164.0,48.0,513403.0
강남역,승차,5203,27938,32163,209647,817750,1070632,30788.0,105065.0,32592.0,274.0,2809.0,1892.0,2336753.0
강남역,하차,12340,32723,18306,941602,680981,442039,61002.0,71298.0,15183.0,545.0,2729.0,1243.0,2279991.0
강동구청역,승차,3531,5123,1492,105460,71838,49755,28879.0,37061.0,8222.0,5.0,15.0,4.0,311385.0
강동구청역,하차,1470,4976,3569,61150,69633,102436,19251.0,40251.0,15730.0,5.0,19.0,3.0,318493.0
강동역,승차,4387,4784,2252,184041,140237,90090,41858.0,61028.0,15660.0,45.0,44.0,10.0,544436.0
강동역,하차,1514,6205,4867,102130,116725,181327,30461.0,63626.0,21944.0,11.0,56.0,28.0,528894.0
강변역,승차,10237,18997,7709,333007,288728,174356,44426.0,64640.0,22728.0,175.0,391.0,206.0,965600.0
강변역,하차,2926,16167,16501,131160,300225,327255,35611.0,68847.0,23506.0,105.0,321.0,192.0,922816.0
강일역,승차,5288,5336,1327,73181,37107,16500,25566.0,21126.0,4249.0,0.0,1.0,1.0,189682.0
강일역,하차,324,5010,6200,16753,30472,65081,9229.0,26105.0,13319.0,1.0,0.0,1.0,172495.0
개롱역,승차,4542,7594,2514,63584,40926,24435,23184.0,27540.0,5909.0,1.0,4.0,1.0,200234.0
개롱역,하차,2535,6064,5210,26428,40658,66857,13674.0,31383.0,12945.0,1.0,2.0,0.0,205757.0
개화산역,승차,2889,2875,938,59799,41398,26545,19301.0,22212.0,4938.0,1.0,7.0,3.0,180906.0
개화산역,하차,423,2735,3285,30727,33579,56775,12152.0,23470.0,9310.0,3.0,8.0,8.0,172475.0
거여역,승차,7607,6320,2127,122950,64029,32154,34076.0,33259.0,6821.0,0.0,10.0,0.0,309353.0
거여역,하차,2480,8075,6596,32340,61020,116819,15537.0,37947.0,18589.0,0.0,7.0,3.0,299413.0
건대입구역,승차,7205,29296,32337,324836,499062,560146,48580.0,90225.0,29736.0,196.0,745.0,482.0,1622846.0
건대입구역,하차,8138,42255,23054,287942,571175,591055,45815.0,91192.0,29222.0,124.0,667.0,597.0,1691236.0
경복궁역,승차,3153,27511,8243,66547,333501,281585,18437.0,66076.0,20387.0,390.0,5961.0,1084.0,832875.0
경복궁역,하차,17521,16323,4950,327653,276408,98677,40421.0,53053.0,10745.0,3037.0,5366.0,379.0,854533.0
경찰병원역,승차,2280,2300,825,73405,54782,36924,17612.0,24160.0,5247.0,5.0,8.0,5.0,217553.0
경찰병원역,하차,273,2458,2811,52186,44537,65081,13123.0,25498.0,10082.0,1.0,4.0,3.0,216057.0
고덕역,승차,5320,18362,10316,85597,80016,43952,26198.0,51008.0,8418.0,1.0,12.0,4.0,329204.0
고덕역,하차,6356,12652,9354,51125,65560,90795,27501.0,42927.0,14043.0,7.0,9.0,2.0,320331.0
고려대역,승차,2001,6371,2047,72155,99343,70837,14944.0,20060.0,5206.0,24.0,64.0,32.0,293084.0
고려대역,하차,4012,4062,2400,72185,73330,86829,11361.0,19416.0,8953.0,14.0,40.0,49.0,282651.0
고속터미널역,승차,11929,34446,23717,242137,837750,725203,49750.0,203857.0,71350.0,249.0,1881.0,1526.0,2203795.0
고속터미널역,하차,6765,33576,19091,479634,774717,373715,91614.0,179828.0,29050.0,367.0,1643.0,635.0,1990635.0
공덕역,승차,4652,12988,5528,176162,301236,338892,36974.0,77500.0,26655.0,772.0,1450.0,623.0,983432.0
공덕역,하차,8423,9051,5978,355443,230299,241283,41429.0,70353.0,20912.0,165.0,1185.0,1477.0,985998.0
공릉역,승차,3726,10865,4852,112494,106954,74575,32746.0,40786.0,10126.0,3.0,11.0,2.0,397140.0
공릉역,하차,5905,6379,5906,56664,95875,134949,18561.0,46433.0,18408.0,5.0,0.0,1.0,389086.0
광나루역,승차,6840,11383,3705,138058,115841,76299,25204.0,46561.0,12555.0,70.0,105.0,115.0,436736.0
