역명,승하차구분,승객유형,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,합계
가락시장,승차,어린이,2,4,29,64,67,66,111,123,123,128,120,214,136,105,42,50,22,14,2,0,1422
가락시장,승차,외국인,0,1,0,0,5,4,11,5,3,7,8,11,3,5,3,18,1,4,7,0,96
가락시장,승차,우대권,2181,3115,4986,6783,9651,12034,13280,12341,12315,13943,14631,12887,9976,8043,5466,4412,3351,2111,786,275,152567
가락시장,승차,일반,4137,9525,27025,31207,19809,13636,12946,14081,14682,14518,15779,19418,29765,46684,19611,16569,15905,13057,5572,1011,344937
가락시장,승차,중고생,0,0,0,0,0,1,1,0,2,0,2,0,0,3,0,0,0,0,0,0,9
가락시장,승차,청소년,13,192,1506,455,432,355,244,473,420,306,542,1193,1101,696,383,317,258,187,69,14,9156
가락시장,하차,어린이,0,1,2,11,35,41,43,74,112,110,151,138,194,166,183,126,93,59,11,1,1551
가락시장,하차,외국인,0,0,0,0,0,3,4,3,6,2,6,6,10,14,14,4,2,8,5,0,87
가락시장,하차,우대권,1864,5632,5591,7001,9037,11002,12764,12796,11747,12901,13497,13066,10753,8168,5134,4005,3014,2033,804,251,151060
가락시장,하차,일반,1389,7963,20601,57217,22032,11808,10680,12148,13714,13044,14270,18859,26541,39792,28668,18257,16472,14287,9044,3567,360353
가락시장,하차,중고생,0,0,1,0,3,1,0,0,0,1,1,3,1,1,0,0,0,1,1,1,15
가락시장,하차,청소년,3,39,642,1511,142,153,187,202,346,395,729,998,931,758,574,453,568,1439,325,131,10526
가산디지털단지,승차,어린이,4,0,4,31,34,23,41,84,100,155,186,140,193,178,156,60,33,12,4,0,1438
가산디지털단지,승차,외국인,5,2,5,7,12,24,17,29,30,28,33,48,42,70,30,25,16,2,1,0,426
가산디지털단지,승차,우대권,1180,2611,2111,2539,2958,4115,5029,5928,6890,9814,13783,12905,12397,10079,5317,3388,2156,1084,435,58,104777
가산디지털단지,승차,일반,6417,8020,22227,26546,18186,15722,19429,25092,29130,32837,40198,65256,198723,288405,116238,65974,49207,27892,11810,1373,1068682
가산디지털단지,승차,중고생,0,0,0,0,0,0,0,0,0,2,4,3,11,3,1,0,2,2,0,0,28
가산디지털단지,승차,청소년,5,92,407,303,207,172,176,243,263,287,438,531,734,999,574,447,348,244,127,22,6619
가산디지털단지,하차,어린이,1,2,2,100,20,93,132,146,221,176,152,147,101,101,71,34,9,9,3,1,1521
가산디지털단지,하차,외국인,0,1,0,7,12,21,53,34,30,41,30,21,25,19,15,10,6,8,3,1,337
가산디지털단지,하차,우대권,2751,5896,7066,11951,11476,9934,7585,7049,7746,6774,5902,4738,3669,2631,1662,1118,755,541,307,92,99643
가산디지털단지,하차,일반,2583,22319,132414,368337,203188,51394,28680,26733,28619,25073,23134,23112,26358,33140,23940,14840,13056,11998,8319,2740,1069977
가산디지털단지,하차,중고생,0,0,0,0,0,0,0,0,1,0,3,4,2,1,2,0,0,0,0,0,13
가산디지털단지,하차,청소년,3,27,620,824,544,255,195,216,311,387,515,581,664,544,271,244,165,194,160,46,6766
강남,승차,어린이,2,9,23,66,155,233,335,401,436,445,422,506,497,415,291,222,124,84,16,4,4686
강남,승차,외국인,2,4,18,27,91,177,273,340,435,499,468,614,610,516,457,359,344,282,107,20,5643
강남,승차,우대권,1995,4535,3418,3938,5937,9062,11507,11693,12234,17407,21177,17045,13515,10087,7259,6684,5517,3038,931,143,167122
강남,승차,일반,6544,13397,36121,58816,48177,47398,62271,77649,93033,98203,120108,149847,229383,301398,204716,162212,183993,158935,75332,12411,2139944
강남,승차,중고생,1,0,0,4,2,1,4,12,13,11,15,14,17,25,16,28,38,22,6,0,229
강남,승차,청소년,110,261,785,868,1040,1165,1571,2361,2498,2661,3110,4369,5908,5078,3947,4107,6438,8694,1746,219,56936
강남,하차,어린이,1,5,14,104,193,262,313,308,399,390,416,423,429,304,246,149,121,79,13,4,4173
강남,하차,외국인,0,4,24,37,142,336,416,405,440,427,459,488,446,459,391,298,240,71,76,26,5185
강남,하차,우대권,5264,11148,7746,9639,13429,11972,11739,10239,11934,11190,10013,8923,7591,5474,3286,2698,1940,1035,607,161,146028
강남,하차,일반,6737,43722,145752,294108,301858,140610,94540,93958,107664,94689,90089,98974,131813,174294,106483,57142,46480,38153,23628,6284,2096978
강남,하차,중고생,0,1,1,26,29,17,15,16,12,14,12,14,22,20,20,7,7,4,1,0,238
강남,하차,청소년,30,327,4854,2206,3193,2096,2282,2696,3332,3068,3723,5154,6167,5891,3543,1916,1632,1774,733,174,54791
강남구청,승차,어린이,0,1,59,13,38,40,48,74,78,108,118,112,133,74,82,42,39,24,1,0,1084
강남구청,승차,외국인,0,0,1,2,2,4,16,18,21,27,24,19,11,16,12,17,11,10,7,0,218
강남구청,승차,우대권,539,1518,1326,1777,2549,3288,3488,3679,3922,5242,6666,5380,4836,3982,2749,2149,1692,781,193,36,55792
강남구청,승차,일반,1265,2553,5944,9016,7065,6343,8161,10928,13693,16246,20422,27516,45053,82685,50356,31596,29605,21083,9132,1569,400231
강남구청,승차,중고생,0,7,0,0,2,2,0,2,3,1,1,1,0,21,4,0,1,1,0,1,47
