역명,승하차구분,승객유형,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,합계
가락시장,승차,어린이,5,2,25,71,115,135,150,142,198,190,176,152,88,100,45,36,22,20,1,5,1678
가락시장,승차,외국인,1,0,0,0,6,1,3,5,7,2,17,12,9,8,24,8,26,6,0,0,135
가락시장,승차,우대권,2030,2730,4328,5760,8074,10486,11939,11685,11534,12946,14294,12247,9439,7332,4435,3587,2972,2110,782,254,138964
가락시장,승차,일반,3687,8122,22566,27041,16153,11717,11324,12666,12494,13073,14855,17395,28215,42976,18109,15072,14978,11558,5294,967,308262
가락시장,승차,중고생,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,6,0,2,1,0,14
가락시장,승차,청소년,18,91,390,345,354,363,360,546,550,527,619,671,830,540,294,261,181,184,65,18,7207
가락시장,하차,어린이,0,2,4,31,78,65,95,125,193,123,155,166,202,183,144,99,72,26,11,6,1780
가락시장,하차,외국인,0,2,0,0,4,8,5,9,9,4,11,10,24,24,11,6,1,0,0,2,130
가락시장,하차,우대권,1536,5085,5058,6490,8427,10453,11681,11930,11254,12185,12782,11515,9518,7044,4580,3357,2713,1738,753,244,138343
가락시장,하차,일반,1332,7019,18543,52462,19991,10674,9529,10730,12137,11719,13563,16696,23051,35889,25985,16540,14629,12353,7974,3421,324237
가락시장,하차,중고생,0,0,0,0,0,1,0,1,1,0,0,1,1,2,1,0,0,1,1,0,10
가락시장,하차,청소년,2,25,153,626,209,191,226,353,457,446,475,519,665,674,478,449,462,1002,286,98,7796
가산디지털단지,승차,어린이,1,3,5,11,37,57,82,117,130,229,263,292,250,182,128,97,59,15,3,1,1962
가산디지털단지,승차,외국인,1,1,0,6,4,5,4,8,22,28,48,41,53,42,59,26,18,13,2,0,381
가산디지털단지,승차,우대권,1035,2228,1778,2073,2476,3495,4378,4973,6009,8401,12645,11513,10641,8734,4819,2855,1881,949,364,72,91319
가산디지털단지,승차,일반,5101,6800,19075,22456,15329,13416,17276,23450,27303,33146,42027,64293,183917,268906,107168,60987,45548,25288,10824,1333,993643
가산디지털단지,승차,중고생,0,1,0,0,0,2,1,3,2,1,3,3,3,5,2,1,4,1,1,0,33
가산디지털단지,승차,청소년,13,28,102,131,175,166,239,323,425,405,443,497,696,958,387,321,308,232,110,22,5981
가산디지털단지,하차,어린이,0,1,1,36,34,175,269,200,261,238,196,216,133,124,58,30,20,13,3,1,2009
가산디지털단지,하차,외국인,0,1,2,2,6,39,49,48,40,39,38,25,35,5,11,9,1,7,5,1,363
가산디지털단지,하차,우대권,2533,5329,6101,10998,10299,8995,6433,5941,6637,5596,4850,3989,3112,2180,1339,938,692,410,246,78,86696
가산디지털단지,하차,일반,2106,20378,121670,345770,190953,49178,26133,25465,26987,23338,21154,20731,23557,29448,21789,13073,11010,9986,7172,2497,992395
가산디지털단지,하차,중고생,0,0,0,0,1,1,0,0,3,2,5,1,1,3,1,0,1,4,0,0,23
가산디지털단지,하차,청소년,3,47,133,800,484,325,310,341,391,396,424,386,467,367,232,188,172,156,99,37,5758
