month,역명,승하차구분,미성년_아침_유동인구,미성년_점심_유동인구,미성년_저녁_유동인구,성인_아침_유동인구,성인_점심_유동인구,성인_저녁_유동인구,노인_아침_유동인구,노인_점심_유동인구,노인_저녁_유동인구,외국인_아침_유동인구,외국인_점심_유동인구,외국인_저녁_유동인구,총유동인구
1,구로디지털단지역,하차,2177,8651,10150,499139,355825,571023,51025.0,113441.0,34217.0,26.0,176.0,326.0,1646176.0
1,구산역,승차,1635,5221,3830,96321,45938,20823,22166.0,29176.0,4095.0,3.0,5.0,2.0,229215.0
1,구산역,하차,1296,5548,2878,13433,32614,66031,10064.0,34952.0,13413.0,4.0,4.0,2.0,180239.0
1,구의역,승차,3490,7954,3637,297160,183186,117095,41543.0,51483.0,12922.0,10.0,58.0,45.0,718583.0
1,구의역,하차,1301,7318,7054,103291,169889,307959,22260.0,61625.0,22723.0,2.0,52.0,35.0,703509.0
1,구파발역,승차,5174,14466,5375,246313,145626,76774,41152.0,72380.0,12404.0,4.0,32.0,25.0,619725.0
1,구파발역,하차,2412,13139,9961,73618,142306,238816,29162.0,69179.0,22320.0,13.0,49.0,7.0,600982.0
1,군자역,승차,3310,7543,3998,276495,191472,174068,40832.0,64957.0,22437.0,24.0,106.0,30.0,785272.0
1,군자역,하차,1445,7298,4966,117443,181928,293786,27055.0,69794.0,22441.0,17.0,59.0,60.0,726292.0
1,굽은다리역,승차,1756,5551,3278,99670,60409,36337,31239.0,41536.0,8425.0,1.0,6.0,7.0,288215.0
1,굽은다리역,하차,1225,5528,3759,28407,57256,104172,15313.0,44095.0,17401.0,2.0,9.0,2.0,277169.0
1,금호역,승차,1936,3365,735,94347,51360,27756,21909.0,27697.0,5251.0,4.0,8.0,4.0,234372.0
1,금호역,하차,276,2730,2760,18521,52189,89309,10590.0,31011.0,12250.0,3.0,15.0,10.0,219664.0
1,길동역,승차,1055,3331,2270,65910,53761,37437,23706.0,45475.0,9753.0,6.0,9.0,2.0,242715.0
1,길동역,하차,1337,2955,2214,35398,52098,77526,19929.0,47904.0,13046.0,1.0,5.0,1.0,252414.0
1,길음역,승차,7316,15335,5839,247890,137641,66882,47931.0,61258.0,12341.0,18.0,25.0,23.0,602499.0
1,길음역,하차,2922,14018,12379,60738,130585,248393,22624.0,72999.0,26724.0,6.0,33.0,32.0,591453.0
1,김포공항역,승차,1467,7987,4866,51799,88589,83746,7374.0,29018.0,8982.0,28.0,702.0,284.0,284842.0
1,김포공항역,하차,2324,8429,2050,66792,79275,28496,11083.0,27246.0,3645.0,170.0,359.0,78.0,229947.0
1,까치산역,승차,5291,10162,3601,392178,167862,78750,72352.0,73148.0,13687.0,11.0,23.0,7.0,817072.0
1,까치산역,하차,1214,8247,8878,51480,173938,386440,22765.0,96436.0,42491.0,3.0,22.0,14.0,791928.0
1,낙성대역,승차,3232,8441,4092,333636,205861,131204,40672.0,54059.0,11723.0,25.0,52.0,11.0,793008.0
1,낙성대역,하차,2105,7025,5529,98357,182590,368489,22979.0,61437.0,24031.0,7.0,42.0,33.0,772624.0
1,남구로역,승차,1693,3086,1233,111208,113244,141599,22708.0,31565.0,9253.0,60.0,94.0,33.0,435776.0
1,남구로역,하차,862,2811,2155,190656,96458,97703,18604.0,33362.0,11455.0,18.0,153.0,68.0,454305.0
1,남부터미널역,승차,4250,18388,10309,124522,307058,290857,25970.0,71870.0,24315.0,81.0,265.0,64.0,877949.0
1,남부터미널역,하차,6068,19304,7421,340795,236279,152077,45893.0,61931.0,13678.0,25.0,182.0,169.0,883822.0
