month,역명,승하차구분,미성년_아침_유동인구,미성년_점심_유동인구,미성년_저녁_유동인구,성인_아침_유동인구,성인_점심_유동인구,성인_저녁_유동인구,노인_아침_유동인구,노인_점심_유동인구,노인_저녁_유동인구,외국인_아침_유동인구,외국인_점심_유동인구,외국인_저녁_유동인구,총유동인구,평균면적당 임대료_공유오피스,평균면적당 임대료_기타,평균면적당 임대료_무인프린트,평균면적당 임대료_밀키트,평균면적당 임대료_사무실,평균면적당 임대료_식음료,평균면적당 임대료_의약업,평균면적당 임대료_패션잡화,평균면적당 임대료_편의점,평균면적당 임대료_플라워,평균면적당 임대료_화상면접,평균면적당 임대료_화장품,공실수,점포수_공유오피스,점포수_기타,점포수_무인프린트,점포수_밀키트,점포수_사무실,점포수_식음료,점포수_의약업,점포수_패션잡화,점포수_편의점,점포수_플라워,점포수_화상면접,점포수_화장품
1,구산역,하차,1296,5548,2878,13433,32614,66031,10064.0,34952.0,13413.0,4.0,4.0,2.0,180239.0,0.0,0.0,0.0,27230.666666666668,0.0,0.0,0.0,0.0,157480.69277108432,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,군자역,승차,3310,7543,3998,276495,191472,174068,40832.0,64957.0,22437.0,24.0,106.0,30.0,785272.0,0.0,0.0,0.0,0.0,0.0,161602.82732447816,0.0,75587.26737953216,271626.9609631521,147611.06451612903,0.0,80591.00067159167,3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,1.0,1.0,0.0,1.0
1,군자역,하차,1445,7298,4966,117443,181928,293786,27055.0,69794.0,22441.0,17.0,59.0,60.0,726292.0,0.0,0.0,0.0,0.0,0.0,161602.82732447816,0.0,75587.26737953216,271626.9609631521,147611.06451612903,0.0,80591.00067159167,3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,1.0,1.0,0.0,1.0
1,굽은다리역,승차,1756,5551,3278,99670,60409,36337,31239.0,41536.0,8425.0,1.0,6.0,7.0,288215.0,0.0,13549.448275862069,0.0,0.0,0.0,50268.25442927679,0.0,73093.2326459483,120250.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
1,굽은다리역,하차,1225,5528,3759,28407,57256,104172,15313.0,44095.0,17401.0,2.0,9.0,2.0,277169.0,0.0,13549.448275862069,0.0,0.0,0.0,50268.25442927679,0.0,73093.2326459483,120250.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
1,남구로역,승차,1693,3086,1233,111208,113244,141599,22708.0,31565.0,9253.0,60.0,94.0,33.0,435776.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,53125.0,250324.32432432432,0.0,0.0,0.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,남구로역,하차,862,2811,2155,190656,96458,97703,18604.0,33362.0,11455.0,18.0,153.0,68.0,454305.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,53125.0,250324.32432432432,0.0,0.0,0.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,노원역,승차,8522,37171,34016,391152,416132,360366,90361.0,191346.0,46983.0,210.0,122.0,49.0,1576430.0,0.0,69416.20731707317,0.0,0.0,15865.689865689865,61838.35400793401,0.0,51604.499103253904,358679.7824116047,0.0,0.0,0.0,1,0.0,3.0,0.0,0.0,2.0,6.0,0.0,12.0,1.0,0.0,0.0,0.0
1,노원역,하차,13485,50722,24633,282078,465975,536277,86588.0,192093.0,54544.0,14.0,110.0,218.0,1706737.0,0.0,69416.20731707317,0.0,0.0,15865.689865689865,61838.35400793401,0.0,51604.499103253904,358679.7824116047,0.0,0.0,0.0,1,0.0,3.0,0.0,0.0,2.0,6.0,0.0,12.0,1.0,0.0,0.0,0.0
1,논현역,승차,587,3914,5166,41378,155981,269668,9050.0,27259.0,9652.0,15.0,96.0,43.0,522809.0,0.0,72413.79310344828,0.0,0.0,0.0,101894.95501285348,63774.375,99125.92592592593,298266.2933930572,0.0,0.0,90305.08695652174,3,0.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0
