역명,승하차구분,승객유형,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,합계
가락시장,승차,어린이,1,2,8,89,102,113,105,124,139,166,188,179,124,142,49,42,28,9,10,0,1620
가락시장,승차,외국인,2,0,0,4,3,7,3,11,7,20,3,5,14,2,7,3,0,0,3,0,94
가락시장,승차,우대권,2357,3772,5777,7114,9890,11994,12750,10953,10622,12066,12989,12377,10056,7661,5174,4405,3466,2035,847,206,146511
가락시장,승차,일반,3992,9203,25562,27689,17904,13210,12021,13137,13559,13476,14982,18144,29517,44892,17786,14970,14794,12228,5095,1011,323172
가락시장,승차,중고생,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,6
가락시장,승차,청소년,30,117,1128,335,336,287,247,335,422,321,529,929,839,564,326,300,287,197,71,4,7604
가락시장,하차,어린이,0,1,2,25,26,35,71,83,121,111,129,139,272,157,170,117,85,66,12,1,1623
가락시장,하차,외국인,0,0,0,1,1,0,1,16,9,6,10,5,5,6,2,3,2,3,0,5,75
가락시장,하차,우대권,2199,6315,6167,7649,9083,10748,12064,11368,10966,11252,12052,11680,10432,7787,5121,4206,3283,2211,909,229,145721
가락시장,하차,일반,1277,7428,20808,54971,20516,10854,9860,11263,13571,12246,13320,17276,24544,35539,26171,17320,15247,13605,8835,3161,337812
가락시장,하차,중고생,0,0,0,1,0,1,1,0,1,1,0,0,1,1,2,2,0,0,1,0,12
가락시장,하차,청소년,4,76,510,1055,174,165,220,244,334,290,547,886,777,581,524,453,537,1255,272,83,8987
가산디지털단지,승차,어린이,1,3,4,13,35,64,63,84,95,131,134,188,160,185,131,75,38,6,4,1,1415
가산디지털단지,승차,외국인,9,3,9,9,7,12,20,11,17,3,37,28,16,36,27,27,11,2,0,0,284
가산디지털단지,승차,우대권,1235,2594,2043,2612,2889,3931,4848,5405,6068,8090,11528,11491,11672,9426,5206,3433,2384,1192,414,73,96534
가산디지털단지,승차,일반,6146,7292,20746,24358,17185,15061,18233,24070,27562,31275,37679,62116,187124,267785,103956,59423,46961,26183,11510,1398,996063
가산디지털단지,승차,중고생,0,0,0,1,1,0,0,1,0,1,0,3,1,0,0,1,0,1,0,0,10
가산디지털단지,승차,청소년,15,81,331,188,126,124,152,201,223,256,348,436,531,684,405,325,293,204,106,14,5043
가산디지털단지,하차,어린이,1,2,8,99,56,85,134,153,156,137,157,127,120,100,63,37,19,23,11,1,1489
가산디지털단지,하차,외국인,0,0,1,0,1,18,21,14,26,16,16,13,11,16,18,9,17,10,9,5,221
가산디지털단지,하차,우대권,2501,5816,7276,10796,10181,8815,6597,6444,6872,5796,5187,4322,3546,2542,1538,1197,904,552,300,98,91280
가산디지털단지,하차,일반,2373,23887,131253,344277,184865,46897,26689,24963,26582,22402,20756,20848,25343,32015,21725,14625,12524,12220,7900,2823,1004967
가산디지털단지,하차,중고생,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,2,0,2,0,0,10
가산디지털단지,하차,청소년,6,50,454,684,342,213,193,228,246,243,391,433,449,344,220,200,169,163,91,40,5159
강남,승차,어린이,0,6,7,81,191,285,434,500,502,549,657,629,559,439,297,267,206,109,36,0,5754
강남,승차,외국인,2,10,14,48,70,151,204,301,371,383,487,509,511,465,361,342,344,304,156,24,5057
강남,승차,우대권,1781,4463,3514,3877,5940,9023,10919,10423,11634,16235,19204,15479,13036,9249,6606,5741,5110,2937,801,136,156108
강남,승차,일반,6504,13439,34732,54806,44446,42972,57565,72978,86150,92708,114683,142449,220034,283956,186735,147721,167627,146581,69476,11598,1997160
강남,승차,중고생,2,0,0,3,2,5,4,7,11,13,17,13,16,7,17,16,27,33,2,1,196
강남,승차,청소년,92,158,545,563,780,828,1413,2091,2499,2427,3041,3959,5082,4224,3404,3735,5734,7186,1218,159,49138
