역명,승하차구분,승객유형,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,합계
가락시장,승차,어린이,0,3,11,40,138,127,105,146,156,182,137,142,149,102,40,40,18,12,1,0,1549
가락시장,승차,외국인,0,0,0,0,2,4,1,4,0,8,5,3,4,10,2,6,1,0,2,0,52
가락시장,승차,우대권,2217,3047,4845,5975,8496,11327,13026,12513,12780,14290,15454,13134,10309,7630,4953,4047,3054,2118,885,267,150367
가락시장,승차,일반,4270,9454,26377,30329,17881,12399,12056,12744,13795,13647,15627,18659,32182,50636,21060,17318,17040,14093,6029,1031,346627
가락시장,승차,중고생,0,0,0,0,0,0,1,1,0,1,2,0,1,1,1,2,0,0,0,0,10
가락시장,승차,청소년,17,61,406,450,477,351,333,543,588,504,554,630,883,595,306,246,192,212,69,13,7430
가락시장,하차,어린이,2,1,7,23,46,50,81,101,160,132,153,154,232,214,130,106,71,39,10,8,1720
가락시장,하차,외국인,0,4,1,2,1,3,4,3,0,1,15,2,11,7,1,0,5,0,1,0,61
가락시장,하차,우대권,1692,5411,5364,6891,8785,11441,13140,13193,12137,13076,13627,12709,10428,7358,4786,3655,2873,1892,853,257,149568
가락시장,하차,일반,1500,8057,20880,60598,22826,11711,10490,11965,13035,12619,13926,18215,27037,42141,30005,18076,15960,13970,8517,3694,365222
가락시장,하차,중고생,0,0,0,0,1,1,1,0,2,2,3,0,1,3,0,1,0,0,0,0,15
가락시장,하차,청소년,4,22,140,505,351,202,209,390,530,369,476,468,713,760,533,439,462,1146,244,127,8090
가산디지털단지,승차,어린이,1,0,6,11,31,50,63,71,131,162,196,208,208,142,110,78,30,6,1,0,1505
가산디지털단지,승차,외국인,2,2,2,1,1,4,6,14,29,22,32,44,41,44,28,28,31,8,0,0,339
가산디지털단지,승차,우대권,1154,2446,2041,2155,2662,3965,4739,5695,6494,9611,13963,13276,12237,10018,5484,3278,2019,1060,479,52,102828
가산디지털단지,승차,일반,6547,7599,21636,25290,16636,14151,17337,22874,26871,31703,40093,66372,215522,326705,126404,68665,51331,27983,12130,1522,1127371
가산디지털단지,승차,중고생,0,0,0,0,1,1,1,2,1,3,2,1,4,0,6,2,3,0,0,0,27
가산디지털단지,승차,청소년,18,54,182,162,177,157,173,263,311,413,455,545,730,1166,429,367,344,268,111,15,6340
가산디지털단지,하차,어린이,0,0,3,48,49,147,182,144,185,165,158,142,123,101,47,25,17,7,3,0,1546
가산디지털단지,하차,외국인,1,1,0,2,3,25,56,37,28,25,29,17,16,13,16,0,0,1,0,0,270
가산디지털단지,하차,우대권,2808,5944,7111,12190,12190,10198,7332,6521,7131,6234,5289,4403,3298,2438,1437,1011,754,491,274,81,97135
가산디지털단지,하차,일반,2683,24034,141858,405150,221115,55899,28425,26316,28104,24269,21482,21229,25095,33512,23838,14197,11607,10724,7465,2513,1129515
가산디지털단지,하차,중고생,1,0,1,0,8,1,5,2,1,6,1,1,1,1,0,0,0,0,0,0,29
가산디지털단지,하차,청소년,3,62,182,1103,604,301,281,363,384,462,416,344,545,356,227,178,154,152,124,30,6271
강남,승차,어린이,7,6,56,65,214,288,316,450,520,501,552,523,552,435,232,215,175,90,41,3,5241
강남,승차,외국인,6,7,4,21,34,117,122,184,229,304,295,331,333,305,216,236,199,123,85,11,3162
강남,승차,우대권,1963,4508,3189,3650,5514,8296,10876,11356,13071,18295,22150,17953,14235,10178,7257,5776,4883,3139,951,200,167440
강남,승차,일반,6978,13626,36297,59838,45681,42938,57628,75771,92438,98812,119818,150903,236963,321918,215741,164322,184233,159787,79917,14133,2177742
강남,승차,중고생,1,0,1,1,0,8,8,8,10,23,19,27,36,20,20,9,22,21,12,0,246
강남,승차,청소년,168,207,442,703,1153,1416,2270,3672,4201,3963,4794,5469,6652,5427,4467,4117,6428,9642,2073,226,67490
강남,하차,어린이,0,3,57,99,307,324,396,353,447,450,465,460,408,359,251,172,206,62,12,0,4831
강남,하차,외국인,0,1,5,44,68,161,193,298,279,314,309,296,243,211,212,133,93,49,25,15,2949
강남,하차,우대권,5319,11138,8001,9681,13163,12680,11998,10339,12088,11442,10365,8585,7415,4767,3070,2469,1699,1019,579,174,145991
강남,하차,일반,6750,45701,145825,302995,324683,146189,95297,93123,108978,94808,91090,95336,129441,178430,102493,52394,41273,34901,21134,6176,2117017
강남,하차,중고생,0,1,0,2,20,20,14,29,23,37,22,19,17,13,28,8,9,4,2,2,270
강남,하차,청소년,32,259,5801,2431,5139,3680,3668,4323,5361,4393,4484,4688,5400,4963,3261,2063,1850,1644,601,103,64144
강남구청,승차,어린이,0,1,1,24,39,46,60,91,127,117,115,119,127,83,103,31,38,13,3,0,1138
강남구청,승차,외국인,0,0,0,1,0,3,4,8,7,4,9,11,14,11,9,7,7,6,0,0,101
강남구청,승차,우대권,485,1511,1175,1489,2089,2953,3251,3254,3803,5443,6487,5339,4947,3940,2586,1917,1541,711,185,35,53141
강남구청,승차,일반,1243,2418,5632,7923,6193,5849,7859,9853,12298,15322,19755,26322,47608,90287,54281,32151,30403,21434,9445,1758,408034
강남구청,승차,중고생,0,1,0,0,0,2,1,1,4,1,1,3,2,8,2,3,1,0,1,0,31
강남구청,승차,청소년,4,21,70,94,151,169,193,308,422,378,434,518,806,651,539,432,494,557,98,22,6361
강남구청,하차,어린이,0,2,11,43,78,90,89,100,106,88,139,89,123,93,58,25,27,4,1,1,1167
강남구청,하차,외국인,0,3,2,0,3,9,16,8,12,7,18,14,7,13,8,2,0,3,0,0,125
강남구청,하차,우대권,1139,5324,3757,4886,4716,4389,3755,3160,3830,3703,3467,3139,2746,1928,1315,1209,650,394,229,101,53837
