역명,승하차구분,미성년_아침_유동인구,미성년_점심_유동인구,미성년_저녁_유동인구,성인_아침_유동인구,성인_점심_유동인구,성인_저녁_유동인구,노인_아침_유동인구,노인_점심_유동인구,노인_저녁_유동인구,외국인_아침_유동인구,외국인_점심_유동인구,외국인_저녁_유동인구,총유동인구
월곡역,하차,1214,4972,3376,55508,78823,114144,15005,38614,14064,11,21,24,325776
월드컵경기장역,승차,462,4082,10947,22679,57033,105173,10206,37757,10518,8,224,393,259482
월드컵경기장역,하차,1701,11721,5479,33336,129260,65061,17016,35014,5475,65,445,95,304668
을지로3가역,승차,1261,5682,3036,78984,319076,424709,12332,72634,28356,2169,3975,1893,954107
을지로3가역,하차,1587,4864,2211,425052,231495,162167,52578,51822,5608,474,3699,3458,945015
을지로4가역,승차,539,3236,1624,50427,195455,174245,12375,73151,25192,1356,2811,1291,541702
을지로4가역,하차,1842,2351,1245,208318,133849,78798,50834,54672,4558,489,2770,2699,542425
을지로입구역,승차,1378,8569,5240,81667,466306,628229,8269,63845,24511,2612,8672,6183,1305481
을지로입구역,하차,2182,7647,4512,640712,371907,188137,34910,49814,5265,1158,8572,6324,1321140
응암역,승차,3807,5800,2319,198145,104530,50596,52493,57314,11341,22,24,16,486407
응암역,하차,1800,5859,5526,42658,103103,197396,22377,67380,29600,15,19,31,475764
이대역,승차,1329,5911,4504,100432,190525,128525,13653,28221,6720,181,841,304,481146
이대역,하차,2991,6287,3695,134296,173547,159324,18393,25404,8345,226,770,472,533750
이수역,승차,1348,4379,3382,101789,124947,128397,21004,44359,13782,12,39,30,443468
이수역,하차,1074,5093,2844,91685,123627,130058,21379,41565,12536,5,16,29,429911
이촌역,승차,1763,10044,2061,39631,91738,50053,12462,30033,6720,15,1177,308,246005
이촌역,하차,4684,7906,2528,58131,91650,52683,17443,26776,7657,252,993,103,270806
이태원역,승차,826,2220,1874,49592,107043,142410,7860,15328,5520,597,1849,2002,337121
이태원역,하차,702,2618,1709,78219,120224,136443,11184,12841,4716,276,2318,2773,374023
일원역,승차,3957,11904,2352,67027,98403,34670,20309,39375,6372,0,15,16,284400
일원역,하차,5022,4366,6966,72967,60400,59387,22586,33317,10707,4,15,6,275743
자양역,승차,1935,5428,10785,74807,64601,112296,18886,26455,7816,11,85,154,323259
자양역,하차,1449,8359,7023,29219,95986,119855,12264,29379,11356,14,76,141,315121
잠실나루역,승차,4854,6251,1491,116842,121046,57307,26787,47269,8772,9,58,21,390707
잠실나루역,하차,1540,5874,4931,85971,90336,106184,25429,42829,14552,26,100,37,377809
잠실새내역,승차,8848,12237,7909,201466,168874,147364,34449,59798,15830,40,133,104,657052
잠실새내역,하차,3196,16411,9257,75419,203728,223114,24805,63636,20705,33,187,110,640601
잠실역,승차,10139,50263,46474,476521,840362,928200,57661,174050,55745,346,4716,3986,2648463
잠실역,하차,28038,54390,29292,627927,966911,696150,72318,167283,39085,1374,5632,1501,2689901
잠원역,승차,1806,3271,866,42073,39320,20603,10645,16636,3473,10,42,77,138822
잠원역,하차,476,2877,3031,24217,31144,39811,9481,14515,5104,24,80,66,130826
장승배기역,승차,1489,2558,1250,86603,57000,32747,25510,34574,7312,3,13,5,249064
장승배기역,하차,679,2930,2126,33903,53055,81892,17396,37949,12711,0,1,11,242653
장암역,승차,742,572,156,40842,13904,5578,3554,8012,2052,0,4,1,75417
장암역,하차,40,321,420,5392,8418,10339,3432,6022,979,0,0,0,35363
장지역,승차,3439,7344,3381,133988,125930,102155,27737,44262,12377,27,31,14,460685
장지역,하차,2179,6211,3894,109428,107326,114765,19814,44302,15418,3,37,38,423415
장한평역,승차,3081,3761,1690,175342,132200,101274,28524,47607,20589,327,315,259,514969
장한평역,하차,711,4235,3608,110583,114329,173734,33318,48873,16330,19,240,673,506653
제기동역,승차,1212,1616,572,69452,92948,53697,45857,191944,32788,23,173,36,490318
제기동역,하차,455,1613,1067,69459,73537,63629,78316,202107,14425,71,104,34,504817
종각역,승차,539,7083,5977,41685,324453,460244,13476,90009,32724,645,1552,864,979251
종각역,하차,2926,7861,1786,509189,227669,88511,52324,66453,7602,357,1557,1082,967317
종로3가역,승차,950,8632,5521,71740,404427,521701,35657,279267,105884,1876,4198,2007,1441860
종로3가역,하차,2630,9123,2570,342202,443519,223077,116851,270377,21773,821,4162,3105,1440210
종로5가역,승차,438,3217,1485,34327,208304,167129,24076,162853,39332,688,3911,2094,647854
종로5가역,하차,845,2948,834,183507,161158,59769,72311,138512,10838,732,2805,1682,635941
종합운동장역,승차,1850,19857,21245,58134,116973,178326,13249,29909,9268,14,228,285,449338
종합운동장역,하차,10136,30535,7927,58089,226525,126216,20892,26463,7779,27,426,182,515197
중계역,승차,3455,9266,2696,158246,86776,40150,39297,46485,8438,0,3,0,394812
중계역,하차,4726,5154,4386,44046,75801,139424,26417,44702,20447,1,2,1,365107
중곡역,승차,2938,8225,2118,100208,72832,44523,25818,30187,8313,3,16,5,295186
중곡역,하차,2983,3019,2435,51818,58450,93336,16298,34496,14102,4,12,12,276965
중화역,승차,2143,4911,2016,107719,68697,38222,25856,30387,7561,2,7,0,287521
중화역,하차,1874,3450,3631,37611,64915,106029,14632,34194,14624,1,2,2,280965
