month,역명,영업업종,월임대료,점포수,평균 면적
1,금호역,화장품,2285262.0,1,50.3
1,길동역,편의점,2281500.0,1,31.82
1,길음역,밀키트,5500000.0,1,100.0
1,길음역,화장품,1948081.0,1,20.04
1,김포공항역,사무실,845200.0,2,64.355
1,김포공항역,식음료,5433888.0,2,49.18
1,김포공항역,패션잡화,4265945.333333333,6,39.58833333333333
1,김포공항역,편의점,3256500.0,1,32.34
1,김포공항역,플라워,4310000.0,1,21.53
1,김포공항역,화상면접,613792.0,1,53.15
1,까치산역,기타,9300000.0,1,24.15
1,까치산역,식음료,8195000.0,2,29.05
1,까치산역,패션잡화,7807125.0,4,26.3875
1,까치산역,편의점,8970000.0,1,37.82
1,까치산역,플라워,6383300.0,1,19.28
1,낙성대역,기타,1010000.0,1,112.42
1,낙성대역,패션잡화,2706783.0,3,19.64
1,남구로역,공실,0.0,3,44.71333333333333
1,남구로역,기타,2000000.0,1,40.0
1,남구로역,패션잡화,1700000.0,1,32.0
1,남구로역,편의점,8428420.0,1,33.67
1,남성역,식음료,7166003.0,1,65.0
1,남성역,편의점,9788350.0,1,45.25
1,남한산성입구역,기타,2300000.0,1,34.32
1,남한산성입구역,식음료,1616800.0,3,31.28333333333333
1,남한산성입구역,패션잡화,1809246.0,1,34.18
1,남한산성입구역,편의점,8863280.0,1,36.0
1,내방역,밀키트,1259909.0,1,34.0
1,내방역,식음료,3967708.0,1,28.0
1,내방역,패션잡화,3014500.0,2,37.89
1,내방역,편의점,15240940.0,1,62.21
1,내방역,화장품,1619492.0,1,28.0
1,노원역,공실,0.0,1,37.0
1,노원역,기타,1897376.3333333333,3,27.33333333333333
1,노원역,사무실,649700.0,2,40.95
1,노원역,식음료,1636758.1666666667,6,26.468333333333334
1,노원역,패션잡화,1678436.3333333333,12,32.525
1,노원역,편의점,19781190.0,1,55.15
1,녹번역,무인프린트,531600.0,1,12.65
1,녹번역,식음료,713000.0,1,13.47
1,녹번역,패션잡화,1020700.0,3,50.81666666666666
1,녹사평역,편의점,6254867.0,1,40.0
1,논현역,공실,0.0,3,31.0
1,논현역,기타,2100000.0,1,29.0
1,논현역,식음료,4756456.5,2,46.68
1,논현역,의약업,5101950.0,2,80.0
1,논현역,패션잡화,4349150.0,4,43.875
1,논현역,편의점,13317590.0,1,44.65
1,논현역,화장품,2077017.0,1,23.0
1,단대오거리역,공실,0.0,1,54.03
1,단대오거리역,밀키트,1700000.0,1,36.78
1,단대오거리역,패션잡화,3780000.0,1,75.09
1,단대오거리역,편의점,6235459.0,1,32.5
1,답십리역,기타,421600.0,1,61.97
1,답십리역,식음료,3380000.0,2,43.375
1,답십리역,패션잡화,1552500.0,2,42.9
1,답십리역,편의점,2476500.0,1,40.0
1,답십리역,플라워,1800000.0,1,25.5
1,당고개역,공실,0.0,2,22.84
1,당고개역,기타,2307000.0,1,27.84
1,당고개역,밀키트,1732250.0,1,28.01
1,당고개역,식음료,5753500.0,2,183.65
1,당산역,공실,0.0,2,17.0
1,당산역,식음료,5902400.0,3,40.60666666666666
1,당산역,패션잡화,2830000.0,1,25.0
1,대림역,공실,0.0,1,22.0
1,대림역,기타,11100000.0,1,14.93
1,대림역,식음료,6599660.0,5,15.932
1,대림역,패션잡화,8532738.875,8,36.59625
1,대림역,편의점,9762109.0,2,24.755000000000003
1,대림역,플라워,1257890.5,2,44.29
1,대림역,화장품,3920862.0,1,21.05
1,대청역,식음료,2516600.0,1,26.61
1,대청역,패션잡화,1273000.0,1,23.0
1,대흥역,공실,0.0,1,23.0
1,대흥역,패션잡화,2870000.0,1,43.67
1,대흥역,편의점,7186443.0,1,45.0
1,도곡역,기타,991800.0,1,25.04
