역명,승하차구분,미성년_아침_유동인구,미성년_점심_유동인구,미성년_저녁_유동인구,성인_아침_유동인구,성인_점심_유동인구,성인_저녁_유동인구,노인_아침_유동인구,노인_점심_유동인구,노인_저녁_유동인구,외국인_아침_유동인구,외국인_점심_유동인구,외국인_저녁_유동인구,총유동인구
가락시장역,승차,2223,5076,2004,96766,112759,111646,39222,76486,23244,19,60,33,469538
가락시장역,하차,1925,4537,4400,117657,97130,119116,41983,73377,22336,1,55,42,482559
가산디지털단지역,승차,915,3763,2665,90973,397512,539557,14985,56615,22198,35,237,146,1129601
가산디지털단지역,하차,2168,3798,1580,764702,159093,100731,45826,35821,6624,25,227,89,1120684
강남구청역,승차,758,3766,2986,28519,134424,212005,10817,28893,10544,15,82,86,432895
강남구청역,하차,2079,4241,1794,262639,108018,51237,24170,21358,6200,20,117,48,481921
강남역,승차,4402,31902,31880,196889,821586,1059799,27717,92941,28805,239,2858,1888,2300906
강남역,하차,13765,33991,18907,934282,685285,440865,57002,59608,13206,523,2771,1251,2261456
강동구청역,승차,1929,4700,1494,96080,68757,50586,26704,32278,7822,4,47,19,290420
강동구청역,하차,1024,3990,3248,61224,64070,96415,17519,35261,14719,8,26,13,297517
강동역,승차,3094,5026,2077,171697,136775,92789,40208,59136,14765,53,37,10,525667
강동역,하차,1340,5056,4226,109497,109479,170716,30862,59432,20927,19,78,37,511669
강변역,승차,9770,19080,6447,289861,260168,156785,37892,53591,18585,168,361,198,852906
강변역,하차,3312,14254,16296,132093,264028,276611,30356,57804,19584,93,336,155,814922
강일역,승차,2819,5219,1238,62526,32783,15686,21914,17217,3652,0,2,1,163057
강일역,하차,447,3856,5485,15365,25351,58299,9173,21077,11573,6,3,2,150637
개롱역,승차,2447,7658,2093,56209,37217,23300,21374,26135,5880,1,2,0,182316
개롱역,하차,1910,4701,4762,25810,36442,60539,13927,29019,12015,0,0,0,189125
개화산역,승차,1750,2787,762,56795,39354,25778,18497,19186,4922,5,5,2,169843
개화산역,하차,253,2056,2724,29370,32343,54818,10678,21184,8969,1,5,3,162404
거여역,승차,4482,6041,1550,109541,59095,30457,30742,29454,6229,4,8,2,277605
거여역,하차,1518,5386,5832,31008,53036,107122,14659,33124,16810,0,7,1,268503
건대입구역,승차,4873,20907,23459,299291,424236,472182,44965,80193,26947,223,810,481,1398567
건대입구역,하차,4402,31789,16296,241453,496786,533120,43627,80890,26034,81,754,630,1475862
경복궁역,승차,2430,16379,5010,61457,253819,229639,15863,45807,15078,532,7110,1374,654498
경복궁역,하차,6749,12678,4095,260559,214418,80860,28545,36056,8452,3585,6676,441,663114
경찰병원역,승차,1599,2363,667,68283,52798,37130,16109,22784,5316,2,3,12,207066
경찰병원역,하차,273,2261,2601,53437,41930,62357,13105,22696,9503,6,7,6,208182
고덕역,승차,2793,14583,9224,71966,73290,41471,23095,45838,8053,4,19,7,290343
고덕역,하차,5061,10857,6719,50284,56185,77319,26822,36501,12035,19,12,6,281820
고려대역,승차,1169,3281,898,65675,75793,44230,13517,16635,4203,23,146,41,225611
고려대역,하차,1813,2222,1649,52592,50894,71474,9728,15870,7922,45,96,65,214370
고속터미널역,승차,13259,38855,19467,222602,794354,649669,44382,195792,66343,262,2182,1836,2049003
고속터미널역,하차,7365,33802,20710,454125,718649,348888,84180,175290,26550,402,1852,668,1872481
공덕역,승차,3696,11035,4377,159520,281228,322674,32690,66753,23863,939,1918,694,909387
공덕역,하차,4455,8122,6356,344949,208521,222888,38706,60100,18562,211,1332,1892,916094
공릉역,승차,2187,7047,2373,104432,84880,54071,29838,34786,9118,2,5,0,328739
공릉역,하차,2869,4245,4121,40938,75351,123164,17564,39671,16647,2,5,2,324579
광나루역,승차,2929,8804,2947,102675,88426,63594,20163,35121,10590,44,98,101,335492
광나루역,하차,2761,7024,5728,60140,77722,96998,23415,29391,10152,17,141,134,313623
광명사거리역,승차,3641,8374,3274,206922,116582,69511,50666,82230,20694,14,21,11,561940
광명사거리역,하차,1710,5886,6112,68923,125463,188346,34052,98492,28333,1,14,26,557358
광화문역,승차,993,15094,9163,45385,307181,432941,8969,58707,20520,349,1906,799,902007
광화문역,하차,4849,16961,3862,510415,239156,84683,34557,45375,6564,760,1943,701,949826
광흥창역,승차,2133,4555,1902,65912,69321,62190,17832,30705,5411,15,72,25,260073
광흥창역,하차,1710,4068,2976,65556,53102,68742,17983,26017,8732,10,64,31,248991
교대역,승차,4316,15598,10961,143367,415247,472302,35905,126890,49556,72,428,241,1274883
교대역,하차,7147,14131,9353,485447,313805,212691,76124,108849,19492,58,422,236,1247755
구로디지털단지역,승차,6039,11922,4433,514811,417865,423690,57679,99025,43115,381,564,161,1579685
구로디지털단지역,하차,2552,8626,10455,451440,345208,546357,54312,112668,35009,39,361,642,1567669
구산역,승차,2022,6984,4437,94982,47355,21789,24590,26342,4941,2,5,0,233449
구산역,하차,2868,4787,2824,14118,34433,63348,10707,33692,14687,3,3,1,181471
구의역,승차,3850,7939,4046,279976,189728,113865,42202,46722,13597,29,87,78,702119
구의역,하차,1180,7360,7036,107422,164012,289750,23685,55779,23741,31,82,81,680159
구파발역,승차,5738,14961,6155,233384,149400,80535,43633,73992,16835,2,151,51,624837
구파발역,하차,3143,14329,11087,78479,148660,225955,35938,70511,24051,47,134,31,612365
군자역,승차,3735,6440,3743,258797,187631,164257,42423,60094,23086,46,92,56,750400
군자역,하차,1097,7473,5030,110825,176166,271913,30018,63085,23612,49,99,68,689435
굽은다리역,승차,1941,5148,3439,92565,60528,36440,33853,40955,9721,4,10,5,284609
굽은다리역,하차,1187,5278,3971,29181,58833,96184,16844,44514,18615,2,21,8,274638
금호역,승차,2369,2825,818,87672,49220,28770,22887,23677,5422,2,23,14,223699
금호역,하차,336,2754,2835,19613,51911,80937,10623,28008,12460,5,27,24,209533
길동역,승차,1344,2680,1840,65170,53957,35711,27611,42089,10374,55,82,20,240933
길동역,하차,836,2942,2042,34536,52073,72854,21501,45955,14594,12,50,71,247466
길음역,승차,7989,13903,5489,233906,130155,67148,50586,56244,13202,24,30,35,578711
길음역,하차,2869,13818,12544,59756,125785,228128,24638,66747,28531,13,55,51,562935
김포공항역,승차,1835,8882,5891,59258,121172,101881,8982,42234,13824,172,2742,1481,368354
김포공항역,하차,1990,7778,2517,68768,83528,30709,13226,37602,4791,416,670,231,252226
까치산역,승차,6771,8994,3463,360957,162390,77491,76730,66794,14307,20,46,16,777979
까치산역,하차,1756,8511,8614,50857,166125,351973,26591,87356,45031,14,31,41,746900
낙성대역,승차,3965,10819,4317,317944,209066,132008,44268,52809,12452,22,56,29,787755
낙성대역,하차,4041,6627,6576,97925,183991,347369,26849,58600,25411,8,28,40,757465
남구로역,승차,2131,2621,1174,107893,102154,122601,24441,28954,9549,41,67,34,401660
남구로역,하차,759,2937,2185,166288,91341,93138,18924,31908,12848,11,94,80,420513
남부터미널역,승차,4991,17028,10242,120635,297295,274490,26709,65016,25573,159,545,157,842840
남부터미널역,하차,5225,19139,8681,327468,230557,146891,48389,56142,14009,55,348,371,857275
남성역,승차,1766,3674,1751,126780,69807,38585,33979,36279,7665,7,7,11,320311
남성역,하차,972,2952,2756,32109,68716,117400,15988,44122,18241,1,11,7,303275
남위례역,승차,1817,5905,1929,60625,50872,42186,12165,15642,4238,18,16,3,195416
남위례역,하차,3219,3700,3435,43019,44120,66677,8859,14712,7428,2,10,9,195190
남태령역,승차,242,898,112,9804,13651,7577,3195,4687,691,2,24,13,40896
남태령역,하차,531,160,137,12964,5959,5915,2375,3778,1740,12,17,5,33593
남한산성입구역,승차,7091,6292,1696,151250,77207,36103,38698,31415,6129,0,5,1,355887
남한산성입구역,하차,647,6203,5735,40309,63522,129008,15097,38601,18108,0,5,2,317237
내방역,승차,1304,4371,2978,68127,116545,128427,19998,40429,12083,5,66,10,394343
내방역,하차,1542,5000,2931,156201,83393,76530,25059,33106,11702,44,14,19,395541
노원역,승차,9675,33520,33555,365892,396109,338915,91194,167573,47796,308,193,113,1484843
노원역,하차,13389,46862,22473,275835,438491,494990,86446,166792,54531,39,215,354,1600417
녹번역,승차,4784,6409,2122,203281,88631,38795,35893,34927,6706,27,22,15,421612
녹번역,하차,551,6287,5937,32223,83895,177232,14255,39641,21840,6,25,18,381910
녹사평역,승차,630,2577,1859,17995,43895,63734,5905,8612,2498,143,446,390,148684
녹사평역,하차,2056,1826,994,38885,51251,38522,5770,7647,2901,57,411,391,150711
논현역,승차,638,3268,5056,41896,152863,249293,9890,24782,9052,27,122,76,496963
논현역,하차,1805,6039,2386,255926,129476,77379,18536,18419,5830,24,118,62,516000
단대오거리역,승차,4021,5051,1706,135174,66239,37792,35441,32181,7458,1,1,4,325069
단대오거리역,하차,397,5477,4780,37129,64433,130642,16088,41503,16707,1,0,4,317161
답십리역,승차,2913,3480,1067,176842,104405,66548,30042,41684,11330,100,176,88,438675
답십리역,하차,545,3599,3057,68523,89050,152921,20609,43601,15866,23,146,205,398145
당고개역,승차,2959,4142,1502,106261,55927,26306,33732,39640,8321,0,4,4,278798
당고개역,하차,528,3491,4040,25245,44006,86194,19722,41086,19303,1,10,7,243633
당산역,승차,2429,6483,2312,149390,135300,129579,17320,26409,9776,33,89,58,479178
당산역,하차,2401,5069,5498,142087,131590,209517,17902,29006,11463,24,69,158,554784
대림역,승차,4991,8762,3732,339495,259907,161057,64932,85728,25536,122,386,242,954890
대림역,하차,1880,8754,6928,165971,289520,319209,50209,96896,33156,105,398,310,973336
대청역,승차,3369,11077,3087,93336,76893,49260,23536,29599,7392,5,27,7,297588
대청역,하차,4422,5536,6849,54442,56915,91749,14996,29805,14142,6,22,8,278892
대치역,승차,3670,22122,35686,74789,84344,86880,21762,36519,10266,3,29,21,376091
대치역,하차,11874,35826,9809,69491,86801,79748,20697,33528,12072,5,38,14,359903
대흥역,승차,1460,7565,5700,51071,70065,62223,14420,24798,7268,29,81,40,244720
대흥역,하차,4105,7392,3255,62487,65464,65728,14890,23021,8101,17,43,72,254575
도곡역,승차,1373,3763,1677,35677,50999,39016,8465,16629,4278,2,9,3,161891
도곡역,하차,1798,3403,1911,50721,36069,35987,10335,12394,3976,7,20,13,156634
도림천역,승차,359,1421,320,9776,10145,6257,3053,4260,1411,4,0,5,37011
도림천역,하차,820,673,490,9313,8162,9662,3574,4206,1773,0,0,1,38674
도봉산역,승차,2442,3208,877,122650,46208,20066,19102,26710,5380,1,8,3,246655
도봉산역,하차,548,3516,4648,29605,58684,125323,23046,36088,13675,1,12,5,295151
독립문역,승차,2058,9893,2299,47185,59813,30630,23079,37072,7500,13,143,36,219721
독립문역,하차,3393,7570,2921,45645,46290,46467,22067,32784,11499,68,100,39,218843
독바위역,승차,1231,1791,380,34503,14721,5964,10264,9740,1973,3,0,1,80571
독바위역,하차,203,1237,1430,6218,14805,34132,5748,13680,7276,0,2,0,84731
돌곶이역,승차,2766,3774,973,112532,66769,34117,24754,31991,7579,31,12,10,285308
