역명,영업업종,월임대료,점포수,평균 면적
내방역,패션잡화,3014500.0,2,37.89
내방역,편의점,15240940.0,1,62.21
내방역,화장품,1619492.0,1,28.0
노원역,기타,1491592.6666666667,3,26.0
노원역,사무실,649700.0,2,40.95
노원역,식음료,1656685.6666666667,3,27.936666666666667
노원역,패션잡화,1666115.2,15,31.02
노원역,편의점,19781190.0,1,55.15
노원역,플라워,1975651.0,1,41.0
녹번역,무인프린트,531600.0,1,12.65
녹번역,식음료,713000.0,1,13.47
녹번역,패션잡화,1020700.0,3,50.81666666666666
녹사평역,편의점,6254867.0,1,40.0
논현역,공실,0.0,3,39.333333333333336
논현역,기타,2100000.0,1,25.0
논현역,식음료,4756456.5,2,46.68
논현역,의약업,5101950.0,2,80.0
논현역,패션잡화,6035000.0,2,43.85
논현역,편의점,13317590.0,1,44.65
논현역,화장품,2077017.0,1,23.0
단대오거리역,기타,2171795.0,2,45.405
단대오거리역,패션잡화,3780000.0,1,75.09
단대오거리역,편의점,6235459.0,1,32.5
답십리역,기타,421600.0,1,61.97
답십리역,식음료,3218700.0,2,41.695
답십리역,패션잡화,1768333.3333333333,3,38.22
답십리역,편의점,2476500.0,1,40.0
당고개역,기타,2307000.0,1,27.84
당고개역,밀키트,1732250.0,1,28.01
당고개역,식음료,5753500.0,2,183.65
당산역,식음료,7032800.0,2,43.09
당산역,패션잡화,4618300.0,2,29.5
당산역,편의점,3641600.0,1,35.64
대림역,공실,0.0,2,18.75
대림역,기타,5550000.0,2,15.344999999999999
대림역,식음료,8414000.0,3,16.133333333333333
대림역,패션잡화,8532738.875,8,36.59625
대림역,편의점,9762109.0,2,24.755000000000003
대림역,플라워,4920117.0,2,44.29
대림역,화장품,3920862.0,1,21.05
대청역,공실,0.0,1,23.0
대청역,식음료,2516600.0,1,26.61
대흥역,패션잡화,2870000.0,1,43.67
대흥역,편의점,7186443.0,1,45.0
도곡역,기타,991800.0,1,25.04
도곡역,패션잡화,1488166.6666666667,3,24.426666666666666
도봉산역,식음료,1096650.0,2,41.0
도봉산역,패션잡화,1310000.0,1,36.0
독바위역,편의점,1839752.0,1,31.3
돌곶이역,기타,982333.0,1,22.0
돌곶이역,식음료,991650.0,2,22.5
돌곶이역,패션잡화,1890280.3333333333,3,43.666666666666664
돌곶이역,편의점,6371979.0,1,37.8
동대문역,공실,0.0,2,32.68
동대문역,식음료,2976123.3333333335,3,19.266666666666666
동대문역,패션잡화,4327726.428571428,7,27.087142857142858
동대문역사문화공원역,사무실,1562000.0,2,46.1
동대문역사문화공원역,식음료,6823334.333333333,3,21.333333333333332
동대문역사문화공원역,패션잡화,5059796.0,6,44.68333333333334
동대문역사문화공원역,편의점,7122000.0,1,25.7
동대입구역,기타,518200.0,3,27.933333333333334
동대입구역,무인프린트,366600.0,1,17.14
동대입구역,사무실,387283.5,2,35.49
동대입구역,식음료,932600.0,2,25.025
동대입구역,편의점,1201000.0,1,17.04
동묘앞역,공실,0.0,2,61.0
동묘앞역,식음료,3550000.0,1,17.7
동묘앞역,편의점,5163592.0,1,48.0
동묘앞역,화장품,1267922.0,1,43.0
동작역,식음료,2540000.0,2,13.375
동작역,편의점,4730000.0,1,20.0
둔촌동역,식음료,2455156.0,2,29.94
둔촌동역,패션잡화,3900000.0,1,49.53
둔촌동역,편의점,3295500.0,1,29.0
디지털미디어시티역,공실,0.0,2,56.32
디지털미디어시티역,기타,3000000.0,1,110.0
디지털미디어시티역,의약업,4426000.0,2,154.125
디지털미디어시티역,패션잡화,1706000.0,2,50.0
디지털미디어시티역,편의점,4574703.0,1,33.0
디지털미디어시티역,화장품,1684136.0,1,33.0
뚝섬역,식음료,955000.0,2,19.085
뚝섬역,패션잡화,2620000.0,2,22.715
뚝섬역,플라워,2259300.0,1,21.99
뚝섬유원지역,편의점,5262400.0,1,29.89
마들역,공유오피스,2120183.0,1,230.7
마들역,기타,270911.8181818182,11,34.54545454545455
마들역,무인프린트,505000.0,1,33.0
마들역,식음료,1700000.0,1,45.0
마들역,패션잡화,1126666.6666666667,3,32.666666666666664
마들역,편의점,6137560.0,1,33.11
마들역,플라워,466600.0,1,33.0
마장역,편의점,2964000.0,1,30.0
마천역,편의점,2944500.0,1,30.0
마포구청역,공실,0.0,1,32.58
마포구청역,기타,757200.0,1,44.0
마포구청역,사무실,508200.0,1,73.0
마포구청역,패션잡화,1383300.0,1,40.0
마포구청역,편의점,6487761.0,1,39.0
마포구청역,화장품,1793009.0,1,51.0
마포역,공실,0.0,1,32.9
마포역,기타,2960000.0,1,41.13
마포역,식음료,3861593.0,1,46.6
마포역,편의점,3549000.0,1,29.0
마포역,플라워,2350000.0,1,17.43
망원역,무인프린트,1333300.0,1,50.0
망원역,식음료,3545670.0,1,39.0
망원역,패션잡화,2120000.0,1,45.17
망원역,편의점,5682613.0,1,28.0
망원역,화장품,1052443.0,1,29.0
매봉역,식음료,1543300.0,2,17.705
매봉역,패션잡화,2016600.0,1,15.77
매봉역,플라워,3010000.0,1,16.0
먹골역,기타,1200000.0,1,35.0
먹골역,무인프린트,814212.0,1,34.0
먹골역,패션잡화,1282425.0,4,49.5
먹골역,편의점,6181890.0,1,24.38
면목역,공실,0.0,1,64.0
면목역,무인프린트,1093300.0,1,24.0
면목역,식음료,4500000.0,1,32.0
면목역,의약업,4651600.0,2,106.0
면목역,패션잡화,1742921.8333333333,6,30.00333333333333
면목역,편의점,10569130.0,1,36.08
명동역,식음료,9605672.0,1,26.0
