역명,승하차구분,미성년_아침_유동인구,미성년_점심_유동인구,미성년_저녁_유동인구,성인_아침_유동인구,성인_점심_유동인구,성인_저녁_유동인구,노인_아침_유동인구,노인_점심_유동인구,노인_저녁_유동인구,외국인_아침_유동인구,외국인_점심_유동인구,외국인_저녁_유동인구,총유동인구
가락시장역,승차,2548,4651,2031,97560,114836,110776,40904,81813,23794,16,63,15,479007
가락시장역,하차,2075,4228,4319,115854,102080,119878,42161,79814,23746,2,52,21,494230
가산디지털단지역,승차,987,3008,2473,90788,388059,517216,15304,59102,22128,49,132,103,1099349
가산디지털단지역,하차,2002,3170,1486,733552,167583,103832,45385,38764,7131,20,117,84,1103126
강남구청역,승차,865,3638,2858,29894,135429,208166,11149,30777,11308,8,109,61,434262
강남구청역,하차,2204,3777,1834,254319,113203,52320,24429,23754,6509,17,147,64,482577
강남역,승차,3548,24423,27117,196899,786567,1013694,28598,96930,30580,295,2766,1996,2213413
강남역,하차,11763,26336,14913,886799,661966,422221,57177,65376,14296,621,2856,1480,2165804
강동구청역,승차,2413,4106,1290,97127,69049,46869,27642,33720,7767,1,25,1,290010
강동구청역,하차,1186,3785,3002,56911,66080,95629,18021,36757,15117,0,14,10,296512
강동역,승차,3579,4338,1946,171134,134613,84633,40344,56858,14996,51,30,14,512536
강동역,하차,1277,5142,4143,96906,110919,168910,29117,59238,21365,12,47,31,497107
강변역,승차,7004,14553,5391,310609,275375,158287,42166,61174,21606,167,382,217,896931
강변역,하차,2219,11676,12388,126139,280343,304544,33558,64918,22921,84,285,208,859283
강일역,승차,3674,4396,1128,66293,34897,15290,24068,19411,4215,3,4,2,173381
강일역,하차,312,3986,4884,15038,28081,60196,9257,24141,12617,1,4,2,158519
개롱역,승차,3008,7271,2383,58267,39009,23114,22349,26045,5955,0,1,2,187404
개롱역,하차,2372,5147,4918,25013,38061,62161,13335,29618,12539,0,2,3,193169
개화산역,승차,2133,2474,871,56277,39539,26222,18706,20122,4983,5,6,1,171339
개화산역,하차,286,2265,2732,29107,32944,53666,11563,21972,9103,0,10,7,163655
거여역,승차,5513,5720,1853,111392,61205,30364,32595,31492,6541,0,4,4,286683
거여역,하차,2154,6261,5893,30950,56852,107541,15150,35590,17710,3,5,1,278110
