month,역명,평균면적당 임대료_공유오피스,평균면적당 임대료_기타,평균면적당 임대료_무인프린트,평균면적당 임대료_밀키트,평균면적당 임대료_사무실,평균면적당 임대료_식음료,평균면적당 임대료_의약업,평균면적당 임대료_패션잡화,평균면적당 임대료_편의점,평균면적당 임대료_플라워,평균면적당 임대료_화상면접,평균면적당 임대료_화장품,공실수,점포수_공유오피스,점포수_기타,점포수_무인프린트,점포수_밀키트,점포수_사무실,점포수_식음료,점포수_의약업,점포수_패션잡화,점포수_편의점,점포수_플라워,점포수_화상면접,점포수_화장품
1,동묘앞역,0.0,0.0,0.0,0.0,0.0,200564.97175141243,0.0,0.0,107574.83333333333,0.0,0.0,29486.558139534885,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1,디지털미디어시티역,0.0,36437.142857142855,0.0,0.0,0.0,45000.0,28716.950527169505,57063.21112515803,138627.36363636365,0.0,0.0,51034.42424242424,2,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0
1,뚝섬역,0.0,0.0,0.0,0.0,0.0,50039.29787791459,0.0,56219.25509486999,0.0,102742.15552523875,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0
1,마들역,9190.216731686172,7106.628242074928,15303.030303030304,0.0,0.0,37777.77777777778,0.0,42264.15094339623,185368.7707641196,14139.39393939394,0.0,0.0,2,1.0,10.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0
1,마포구청역,0.0,0.0,0.0,0.0,6961.643835616438,0.0,0.0,34582.5,166352.84615384616,0.0,0.0,35157.03921568627,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
1,면목역,0.0,0.0,0.0,70317.1875,0.0,140625.0,43883.018867924526,57577.10809910011,292935.97560975613,0.0,0.0,0.0,3,0.0,0.0,0.0,1.0,0.0,1.0,2.0,6.0,1.0,0.0,0.0,0.0
1,미아사거리역,0.0,82841.40102321921,0.0,0.0,0.0,333033.83636363636,53054.66237942122,169740.2352410657,0.0,0.0,0.0,0.0,2,0.0,2.0,0.0,0.0,0.0,2.0,1.0,12.0,0.0,0.0,0.0,0.0
1,미아역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78502.37341772151,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,불광역,0.0,20399.756246191348,38491.147036181676,0.0,0.0,56632.608695652176,0.0,44463.53139960575,29943.5,0.0,0.0,60390.53694843169,2,0.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0
1,사가정역,0.0,48386.477141759504,0.0,0.0,10662.100456621005,97742.18279569893,0.0,44088.50574712643,347843.83731760323,48377.455166524334,0.0,0.0,3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0
1,사당역,0.0,76753.59062042013,0.0,0.0,0.0,250579.45655511206,166449.51140065148,131933.65678181063,0.0,169032.25806451612,0.0,450935.04851004854,8,0.0,4.0,0.0,0.0,0.0,8.0,1.0,15.0,0.0,1.0,0.0,1.0
1,상계역,0.0,73926.1975308642,0.0,0.0,0.0,117494.60043196545,0.0,57690.60839839239,0.0,0.0,0.0,0.0,1,0.0,2.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0
1,상봉역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58007.39570571926,303167.5461741425,41290.55405405405,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0
1,상수역,0.0,64473.68421052631,0.0,31722.310344827587,0.0,0.0,0.0,0.0,216258.7142857143,70731.70731707317,0.0,78757.57575757576,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
1,서대문역,0.0,48971.42857142857,44000.0,0.0,0.0,253451.17845117842,0.0,0.0,194357.54189944133,56512.890094979644,0.0,0.0,3,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0
1,서초역,0.0,0.0,0.0,0.0,0.0,141199.16666666666,134989.54703832752,107546.56357388316,310182.3860087445,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0
1,석계역,0.0,77395.9696969697,0.0,0.0,0.0,256638.5214007782,0.0,23750.0,202950.4827586207,0.0,0.0,0.0,6,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
1,송정역,0.0,0.0,0.0,0.0,0.0,110386.83127572016,0.0,57849.5367987648,55227.75548737314,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0
1,수락산역,0.0,29748.1647634584,0.0,0.0,3455.61880666245,0.0,0.0,29567.98866855524,233866.15628299894,0.0,0.0,0.0,1,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,숙대입구역,0.0,0.0,0.0,0.0,0.0,91902.83400809717,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,숭실대입구역,0.0,47562.642857142855,0.0,0.0,0.0,161311.080835604,0.0,43371.22784810127,250331.89106642912,0.0,0.0,49900.33613445378,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0
1,신길역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710000.0,0.0,79095.075,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
