역명,승하차구분,미성년_아침_유동인구,미성년_점심_유동인구,미성년_저녁_유동인구,성인_아침_유동인구,성인_점심_유동인구,성인_저녁_유동인구,노인_아침_유동인구,노인_점심_유동인구,노인_저녁_유동인구,외국인_아침_유동인구,외국인_점심_유동인구,외국인_저녁_유동인구,총유동인구
가락시장역,승차,1914,5203,1782,89286,110022,108954,33408,84084,21472,8.0,55.0,72.0,456260.0
가락시장역,하차,1387,4204,3995,110021,97425,116791,37049,80865,20429,14.0,72.0,44.0,472296.0
가산디지털단지역,승차,732,4407,2837,82177,391412,520054,13085,58560,19674,17.0,204.0,160.0,1093319.0
가산디지털단지역,하차,2041,4240,1509,730055,167365,94975,44255,36558,5883,50.0,274.0,39.0,1087244.0
강남구청역,승차,685,3968,2804,25988,127786,204220,9280,29306,10094,3.0,70.0,38.0,414242.0
강남구청역,하차,1977,4444,1516,247190,103805,48573,22085,22175,5500,19.0,89.0,24.0,457397.0
강남역,승차,5003,32843,31612,182159,756097,1007058,24431,93469,28893,229.0,1783.0,1181.0,2164758.0
강남역,하차,14475,35324,16440,841390,654389,402155,51799,63482,12504,321.0,1876.0,828.0,2094983.0
강동구청역,승차,1822,4455,1447,91038,66471,48174,23126,32458,7095,4.0,37.0,6.0,276133.0
강동구청역,하차,551,3851,3320,57173,60750,94319,15491,35187,12981,20.0,18.0,10.0,283671.0
강동역,승차,2146,5314,2004,157985,126957,84022,33041,52847,13447,14.0,21.0,13.0,477811.0
강동역,하차,1321,4323,3822,93292,103296,161239,24284,54462,18204,2.0,32.0,21.0,464298.0
강변역,승차,12711,22122,6582,297044,277905,151614,34889,57156,16170,90.0,280.0,140.0,876703.0
강변역,하차,3560,16895,18999,119147,281547,292741,25940,60137,18762,58.0,274.0,104.0,838164.0
강일역,승차,2116,5272,1211,53998,32580,14540,19420,18886,3281,4.0,17.0,4.0,151329.0
강일역,하차,317,3241,4573,15393,23334,52562,7574,21645,10490,2.0,8.0,15.0,139154.0
개롱역,승차,2037,7388,1382,52532,36410,22178,17922,25019,5399,0.0,2.0,2.0,170271.0
개롱역,하차,1336,4233,4501,24154,34407,58586,11974,27437,10436,0.0,1.0,0.0,177065.0
개화산역,승차,1186,3028,868,51672,37919,24660,15375,19174,3629,1.0,8.0,2.0,157522.0
개화산역,하차,289,2134,2416,28009,29574,51384,9492,20495,7682,0.0,8.0,9.0,151492.0
거여역,승차,2816,5942,1453,102276,57032,28497,27465,29540,5459,1.0,4.0,1.0,260486.0
거여역,하차,428,4386,5364,28384,51571,102323,12800,33011,15250,2.0,3.0,2.0,253524.0
건대입구역,승차,4854,24964,30232,273659,398608,473917,38834,80919,25601,131.0,539.0,296.0,1352554.0
건대입구역,하차,4658,39984,20361,231832,490305,499250,39184,81880,23680,72.0,474.0,381.0,1432061.0
경복궁역,승차,1887,16118,4474,54229,249860,225610,14852,53028,14471,234.0,5637.0,711.0,641111.0
경복궁역,하차,4641,15745,3494,238530,229410,73730,29578,44010,8139,2338.0,5375.0,251.0,655241.0
경찰병원역,승차,1486,2746,761,63987,49331,35375,14112,21540,4966,1.0,4.0,0.0,194309.0
경찰병원역,하차,343,2027,2704,48048,39196,59591,11633,22513,8177,2.0,5.0,5.0,194244.0
고덕역,승차,3052,13095,7606,71085,69224,39676,21013,44810,6931,0.0,8.0,4.0,276504.0
고덕역,하차,3381,11476,7116,43079,55962,79997,22594,37264,11522,2.0,7.0,3.0,272403.0
고려대역,승차,828,3463,980,60070,72861,42845,11815,17246,4051,18.0,68.0,25.0,214270.0
고려대역,하차,989,2581,1634,48878,53203,67170,8917,16527,7089,21.0,40.0,46.0,207095.0
고속터미널역,승차,15719,42127,19937,210796,766211,620862,39388,173154,54908,148.0,1270.0,945.0,1945465.0
고속터미널역,하차,8801,35738,21305,424042,703281,333529,71352,154349,23195,189.0,1175.0,315.0,1777271.0
공덕역,승차,3226,9763,3951,149123,265720,307936,28700,68557,21856,687.0,1278.0,447.0,861244.0
공덕역,하차,3255,8147,5282,316853,202478,210726,33991,61588,16445,98.0,964.0,1402.0,861229.0
공릉역,승차,1948,5947,2852,96936,84522,55397,25692,35198,7821,1.0,5.0,8.0,316327.0
공릉역,하차,1451,4860,4164,41235,75583,116826,15183,39641,14435,4.0,9.0,2.0,313393.0
광나루역,승차,3363,8912,3155,114957,95582,66447,19831,39880,9619,30.0,76.0,111.0,361963.0
광나루역,하차,2272,7590,5641,59313,85479,110188,24648,33618,10479,32.0,144.0,107.0,339511.0
광명사거리역,승차,3237,8151,2765,201521,118676,68317,43598,83794,17341,8.0,37.0,18.0,547463.0
광명사거리역,하차,1005,6061,6065,61871,129704,189031,27503,97942,24666,1.0,25.0,36.0,543910.0
광화문역,승차,779,16030,7534,38939,292066,411512,7440,53296,17989,150.0,1442.0,408.0,847585.0
광화문역,하차,4657,16127,2680,471394,228434,73796,29262,41940,5342,464.0,1186.0,237.0,875519.0
광흥창역,승차,1773,4578,1830,61144,64566,59492,15693,29080,4849,8.0,33.0,32.0,243078.0
광흥창역,하차,1172,3781,2933,61120,50006,66639,16210,25244,7606,3.0,33.0,22.0,234769.0
교대역,승차,3984,14946,10543,128427,381860,445170,31597,130363,49258,40.0,247.0,107.0,1196542.0
교대역,하차,6706,13280,8752,443852,295213,203260,66727,117098,19327,43.0,265.0,136.0,1174659.0
구로디지털단지역,승차,5437,12074,4117,472284,412158,407350,51993,90514,33230,137.0,302.0,65.0,1489661.0
