역명,승하차구분,미성년_아침_유동인구,미성년_점심_유동인구,미성년_저녁_유동인구,성인_아침_유동인구,성인_점심_유동인구,성인_저녁_유동인구,노인_아침_유동인구,노인_점심_유동인구,노인_저녁_유동인구,외국인_아침_유동인구,외국인_점심_유동인구,외국인_저녁_유동인구,총유동인구
가락시장역,승차,2787,5496,2009,105345,117112,120729,40023,80243,23505,26,43,28,497346
가락시장역,하차,2392,5233,4586,129048,101871,126986,41596,77732,23012,9,71,25,512561
가산디지털단지역,승차,1111,3820,2785,96812,438362,612884,15540,62928,24066,43,241,148,1258740
가산디지털단지역,하차,2457,3997,1531,876487,168642,106429,50938,38875,6920,53,263,117,1256709
강남구청역,승차,1237,4198,2885,31187,141443,234021,11407,31585,11372,9,111,69,469524
강남구청역,하차,2422,4752,2013,290003,111555,54212,25739,23195,6440,24,157,57,520569
강남역,승차,5183,37348,36110,213717,862456,1147096,28772,101891,31875,260,2971,2098,2469777
강남역,하차,17251,38802,19879,1034234,710086,450259,61080,66839,13947,663,2893,1224,2417157
강동구청역,승차,2661,5139,1421,107407,69340,51910,27739,34121,7982,6,28,9,307763
강동구청역,하차,1513,4490,3309,65391,65431,106428,18544,37508,14963,1,28,10,317616
강동역,승차,3677,5032,2123,188835,136939,91527,41332,61041,14796,46,15,17,545380
강동역,하차,1685,5688,4192,111211,111658,182925,32164,61384,21483,29,52,25,532496
강변역,승차,9677,20639,6334,343507,267271,150512,42648,58804,18130,147,348,159,918176
강변역,하차,3264,15327,16892,125395,276344,320224,29965,64627,22062,87,240,125,874552
강일역,승차,3853,5363,1212,71227,34932,16033,23252,19612,4057,1,6,2,179550
강일역,하차,437,4786,5528,16564,27659,65116,9410,23665,12058,3,1,3,165230
개롱역,승차,3919,8483,1954,63175,39864,24837,22280,27455,6159,1,1,6,198134
개롱역,하차,2599,5480,4523,28204,38733,66866,14162,30845,12137,5,3,5,203562
개화산역,승차,2065,2761,836,62530,40584,28154,18849,20274,4682,1,12,0,180748
개화산역,하차,327,2228,2854,33002,33072,58698,11108,21911,9090,1,8,12,172311
거여역,승차,5539,6396,1480,122354,60008,31840,32919,31477,6641,3,1,2,298660
거여역,하차,2257,6276,5740,33087,56859,117661,15403,36209,17486,5,3,2,290988
건대입구역,승차,5823,24265,25537,324530,438880,490141,46910,86462,27193,205,802,519,1471267
건대입구역,하차,5417,37110,16885,268371,504011,549393,46202,85512,26664,132,625,570,1540892
경복궁역,승차,3248,18123,5062,64653,261306,248539,16871,52409,16599,397,7145,1151,695503
경복궁역,하차,8731,13214,4232,287335,215731,84265,31522,41194,8907,3344,6600,428,705503
경찰병원역,승차,1861,2587,775,75855,56395,40988,17306,25366,5820,7,4,2,226966
경찰병원역,하차,387,2478,2693,59321,45126,68757,14132,25814,9991,2,6,5,228712
고덕역,승차,5745,17960,8595,84053,79500,44466,25175,49585,8206,8,24,5,323322
고덕역,하차,6212,12735,8149,55458,61030,88980,28169,40160,13008,15,20,2,313938
고려대역,승차,1577,3786,1078,72960,82122,48295,14185,17790,4802,34,94,26,246749
고려대역,하차,2256,2719,1671,60929,54070,77512,10424,17503,7978,17,48,68,235195
고속터미널역,승차,12936,39184,19772,232093,797508,636629,46922,199226,63484,284,2138,1650,2051826
고속터미널역,하차,7285,35784,19863,464381,720114,344419,84640,175821,26524,376,1813,672,1881692
공덕역,승차,4655,13521,4438,174986,297535,357825,34221,73818,26291,751,1496,574,990111
공덕역,하차,8196,8749,6174,385995,221548,238190,42112,65814,19471,140,1241,1473,999103
공릉역,승차,3312,8466,2608,116318,88541,56976,31440,38217,9312,3,7,5,355205
공릉역,하차,4333,4854,4351,45799,78212,133088,18505,43122,17764,3,0,14,350045
광나루역,승차,3946,10017,2973,136725,102002,71151,23886,40579,11678,51,106,191,403305
광나루역,하차,3878,8279,5821,66989,93849,122011,25778,35159,12232,20,157,140,374313
광명사거리역,승차,3692,9148,3230,231113,119095,72769,53101,85315,20539,7,34,17,598060
광명사거리역,하차,2080,6017,6302,72831,131351,206365,34379,102475,28851,6,30,21,590708
광화문역,승차,1174,16635,9065,47852,321965,475464,9173,55228,21418,207,1794,819,960794
광화문역,하차,6039,16736,3544,573908,238993,85121,34933,42183,6464,665,1956,556,1011098
광흥창역,승차,2747,4981,1880,73109,73162,68371,18810,32356,6014,16,63,27,281536
광흥창역,하차,1960,4652,3106,73215,56660,73924,18303,28708,9202,4,58,48,269840
교대역,승차,5492,16984,11902,158525,445597,530138,38508,146462,55032,91,516,261,1409508
교대역,하차,8678,15928,10063,546242,342211,230341,83090,127127,21269,135,424,324,1385832
구로디지털단지역,승차,6802,11548,4097,559683,439023,462276,60292,104571,42395,377,528,132,1691724
구로디지털단지역,하차,2365,9300,10421,508374,357542,580181,56982,115940,35990,34,331,545,1678005
구산역,승차,2833,7897,3738,104187,48184,22622,25813,28059,5012,3,15,10,248373
구산역,하차,3764,4718,2685,14971,35622,69233,11104,35593,14974,5,13,6,192688
구의역,승차,4994,8170,3723,310146,189331,117895,44806,50883,14173,24,89,93,744327
구의역,하차,1442,8045,7120,109772,172219,313066,25059,60938,24710,7,96,85,722559
구파발역,승차,7916,16549,6276,259410,153024,81572,46428,75292,15266,2,153,36,661924
구파발역,하차,4029,16983,11316,81491,152630,244718,35939,71572,24533,48,107,18,643384
군자역,승차,4646,6725,3902,283412,191929,174113,44104,65603,24563,31,152,54,799234
군자역,하차,1453,8474,5040,121524,182849,292464,32037,68446,24445,41,96,57,736926
굽은다리역,승차,2346,6330,3967,101468,62273,38390,34748,41765,10042,2,12,4,301347
굽은다리역,하차,1566,6628,4229,31349,60325,103534,17016,45835,18792,1,15,3,289293
금호역,승차,2879,3108,947,97092,51432,30268,24091,25406,5558,3,17,15,240816
금호역,하차,460,3479,2764,20911,54550,88562,10870,30231,12928,0,24,20,224799
길동역,승차,1672,2954,1827,70160,53922,37163,28239,44266,10754,26,40,9,251032
길동역,하차,858,3375,2204,36963,52067,76176,22455,47459,14672,4,21,35,256289
길음역,승차,10330,14992,5643,261231,135242,69724,53578,59962,13416,25,70,33,624246
길음역,하차,4038,16402,12806,64914,134454,249325,25147,71877,29552,6,41,75,608637
김포공항역,승차,1744,9037,6301,61821,108609,96819,8738,33620,10615,104,1871,1077,340356
김포공항역,하차,2355,9188,2575,72603,83163,32066,12155,29923,4150,307,633,209,249327
까치산역,승차,7850,9608,3473,397557,164334,80700,79849,69379,14850,22,73,25,827720
까치산역,하차,2406,9953,8334,53858,173591,381141,26764,92772,46063,7,53,62,795004
낙성대역,승차,4824,11636,4640,349096,213080,138824,46617,55678,13259,32,58,29,837773
낙성대역,하차,4733,7441,6866,107320,190131,375816,27497,63804,26348,25,68,54,810103
남구로역,승차,2804,2641,1322,113578,109705,137395,24640,31167,9795,44,84,54,433229
남구로역,하차,964,3376,2123,188542,93296,97666,20457,33223,12464,19,107,62,452299
남부터미널역,승차,5694,16697,10050,130901,304643,290953,28524,71910,26305,147,504,162,886490
남부터미널역,하차,5164,19093,8614,359486,228075,152854,52313,61172,14869,54,344,317,902355
남성역,승차,2028,3606,1645,139876,72397,38719,35620,39300,8076,6,4,2,341279
남성역,하차,1009,3171,2709,33352,72230,128005,17159,47450,18763,3,7,5,323863
남위례역,승차,2133,7123,1906,69490,52584,45303,13542,17279,4769,8,20,4,214161
남위례역,하차,4335,3761,3634,47386,46811,74212,9578,16590,8221,1,15,25,214569
남태령역,승차,432,1175,189,9692,14238,7271,3202,4930,666,4,8,4,41811
남태령역,하차,969,221,186,13473,5833,6355,2304,4176,1748,0,6,11,35282
남한산성입구역,승차,8067,7264,1748,168016,78328,37207,40073,33839,6444,1,4,2,380993
