역명,승하차구분,미성년_아침_유동인구,미성년_점심_유동인구,미성년_저녁_유동인구,성인_아침_유동인구,성인_점심_유동인구,성인_저녁_유동인구,노인_아침_유동인구,노인_점심_유동인구,노인_저녁_유동인구,외국인_아침_유동인구,외국인_점심_유동인구,외국인_저녁_유동인구,총유동인구
가락시장역,승차,2081,5058,1850,100710,118710,127207,35907,91506,22954,6,25,21,506035
가락시장역,하차,1355,4177,4293,125572,107287,132363,39584,88310,21674,11,36,14,524676
가산디지털단지역,승차,851,3943,3078,91859,420772,614740,14423,66015,22390,12,188,139,1238410
가산디지털단지역,하차,2513,3911,1422,850739,174920,103856,50441,40208,6486,32,208,30,1234766
강남구청역,승차,623,3828,3079,29258,139017,239759,9702,32524,10915,4,57,40,468806
강남구청역,하차,2110,4286,1533,286790,112432,52773,24211,23800,5826,17,82,26,513886
강남역,승차,4736,34566,33675,205358,832333,1140051,27120,107936,32384,189,1798,1175,2421321
강남역,하차,18175,35457,15613,972143,708073,436801,59982,72232,13777,279,1932,738,2335202
강동구청역,승차,1860,4506,1336,103752,71350,53787,25796,35972,7560,1,10,2,305932
강동구청역,하차,626,3762,3587,65228,65122,107750,16949,38906,14293,3,9,11,316246
강동역,승차,2149,5187,2223,180704,137986,95534,35526,59436,14574,10,18,5,533352
강동역,하차,1351,4270,3915,110434,112398,180601,26231,61351,19386,6,15,13,519971
강변역,승차,10987,19462,5549,334827,280479,152623,38470,61388,16565,91,275,132,920848
강변역,하차,2939,15219,15423,120357,278884,316351,26781,64779,19734,61,256,74,860858
강일역,승차,2161,5102,1225,61489,35753,15481,20261,19705,3246,2,4,1,164430
강일역,하차,334,3091,4472,18377,24200,59186,8210,22277,11236,0,3,1,151387
개롱역,승차,2192,6133,1480,60123,38330,24565,19479,27378,5690,5,16,2,185393
개롱역,하차,932,4261,5083,26785,36736,66411,12932,30707,10900,1,7,27,194782
개화산역,승차,1294,3071,814,58730,40469,27916,16418,20884,3805,6,7,0,173414
개화산역,하차,252,2035,2657,32543,31143,57438,10590,21686,8297,2,8,4,166655
거여역,승차,3588,6604,1498,117344,60908,31278,29900,32698,5840,0,5,0,289663
거여역,하차,1122,4865,5827,32083,55237,117545,14131,36250,16284,0,3,1,283348
건대입구역,승차,5891,22916,30322,313809,436841,519171,42687,89069,26713,95,483,286,1488283
건대입구역,하차,4470,38556,20190,267907,529303,550649,43187,89120,25079,84,457,352,1569354
경복궁역,승차,2136,13947,4420,60246,244000,252595,15180,55120,15909,170,4219,576,668518
경복궁역,하차,4342,13499,4178,263408,218423,82567,29620,45001,8721,1568,3945,230,675502
경찰병원역,승차,1696,2831,709,73195,54197,40724,15452,24135,5171,3,10,6,218129
경찰병원역,하차,306,2193,3046,55041,43677,68250,13054,24850,8782,0,4,2,219205
고덕역,승차,2867,12701,8339,80979,75892,43301,22133,48172,7279,5,7,2,301677
고덕역,하차,3493,11993,7160,48970,60238,90248,23427,40576,11704,1,11,0,297821
고려대역,승차,1030,3093,968,67416,76631,45960,12849,18028,4444,10,46,16,230491
고려대역,하차,1084,2418,1575,53790,52810,75975,9323,17392,7758,4,51,27,222207
고속터미널역,승차,12705,38108,17009,223461,767207,604919,42241,189047,56718,183,1363,841,1953802
고속터미널역,하차,7371,32844,17426,434421,675466,324489,76721,166358,24125,217,1181,315,1760934
공덕역,승차,3095,8809,3903,166036,285903,352872,30681,75461,23540,441,1065,376,952182
공덕역,하차,2437,7701,5302,365226,215924,231621,37668,67423,17770,96,776,1048,952992
공릉역,승차,1950,6010,1950,111756,87360,57417,27859,38309,8255,1,5,2,340874
공릉역,하차,1915,4411,3716,43253,78999,131053,16448,43418,15138,2,4,1,338358
광나루역,승차,3349,8892,3017,131860,103711,68030,21501,42933,10439,19,67,79,393897
광나루역,하차,1889,7705,5873,67321,87922,122494,26227,36177,11055,14,106,64,366847
광명사거리역,승차,3317,7885,3012,228787,125695,72322,47711,90618,17998,3,25,14,597387
광명사거리역,하차,1251,5946,5676,69925,136060,212287,29281,106519,26238,5,14,15,593217
광화문역,승차,877,15145,11274,43945,305669,506299,8359,57672,23060,162,1252,590,974304
광화문역,하차,4550,16187,4596,548270,244146,93318,31844,47269,6905,326,1055,354,998820
광흥창역,승차,1575,4524,1722,69560,69780,65705,16449,29630,5241,33,53,22,264294
광흥창역,하차,1029,3838,2878,70226,52852,74510,15899,26925,8067,5,44,31,256304
교대역,승차,3898,15645,10994,145289,424479,514123,34218,147487,53063,45,232,120,1349593
교대역,하차,7550,13836,9242,514803,329800,227181,74315,131651,20244,51,210,116,1328999
구로디지털단지역,승차,5562,11639,4481,537130,439641,466017,57464,103775,37330,196,278,126,1663639
구로디지털단지역,하차,2177,8651,10150,499139,355825,571023,51025,113441,34217,26,176,326,1646176
구산역,승차,1635,5221,3830,96321,45938,20823,22166,29176,4095,3,5,2,229215
구산역,하차,1296,5548,2878,13433,32614,66031,10064,34952,13413,4,4,2,180239
구의역,승차,3490,7954,3637,297160,183186,117095,41543,51483,12922,10,58,45,718583
구의역,하차,1301,7318,7054,103291,169889,307959,22260,61625,22723,2,52,35,703509
구파발역,승차,5174,14466,5375,246313,145626,76774,41152,72380,12404,4,32,25,619725
구파발역,하차,2412,13139,9961,73618,142306,238816,29162,69179,22320,13,49,7,600982
군자역,승차,3310,7543,3998,276495,191472,174068,40832,64957,22437,24,106,30,785272
군자역,하차,1445,7298,4966,117443,181928,293786,27055,69794,22441,17,59,60,726292
굽은다리역,승차,1756,5551,3278,99670,60409,36337,31239,41536,8425,1,6,7,288215
굽은다리역,하차,1225,5528,3759,28407,57256,104172,15313,44095,17401,2,9,2,277169
금호역,승차,1936,3365,735,94347,51360,27756,21909,27697,5251,4,8,4,234372
