역명,승하차구분,승객유형,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,합계
가락시장,승차,어린이,4,3,32,181,73,80,105,152,154,170,180,198,133,139,83,46,50,23,2,1,1809
가락시장,승차,외국인,4,0,5,3,6,8,13,10,10,8,12,6,10,1,4,6,3,1,0,0,110
가락시장,승차,우대권,2327,3997,5925,7638,10329,12786,13665,12325,12760,14244,15057,13009,10231,7919,5186,4461,3234,2093,855,211,158252
가락시장,승차,일반,4658,10114,27935,30134,19417,14083,13129,14363,14561,14619,15917,19207,31002,47460,20081,17185,16712,13909,6355,1212,352053
가락시장,승차,중고생,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,5
가락시장,승차,청소년,20,170,1040,419,278,260,241,377,413,294,481,840,820,589,313,279,277,272,45,3,7431
가락시장,하차,어린이,0,2,4,28,25,41,105,103,118,95,119,172,286,263,178,146,87,76,21,6,1875
가락시장,하차,외국인,0,0,0,0,2,2,11,8,8,4,2,12,13,4,10,6,6,6,8,2,104
가락시장,하차,우대권,2182,6222,6193,7858,9250,11882,13679,12584,11922,13014,13545,13197,11669,8738,5250,4166,3082,2134,945,227,157739
가락시장,하차,일반,1393,7574,22068,58899,22397,12211,11490,12234,13777,13566,14954,19960,28351,41709,29492,18935,16254,14218,9332,3112,371926
가락시장,하차,중고생,0,0,0,0,1,0,0,0,2,1,1,1,0,4,0,1,0,1,0,0,12
가락시장,하차,청소년,2,53,407,1107,214,237,283,314,433,360,657,838,754,659,511,495,484,1080,249,37,9174
가산디지털단지,승차,어린이,1,1,2,28,40,43,40,84,97,141,192,231,195,181,127,95,47,4,1,0,1550
가산디지털단지,승차,외국인,4,0,7,12,13,27,35,25,24,33,30,38,27,23,34,16,19,1,1,0,369
가산디지털단지,승차,우대권,1344,2575,2191,2698,2958,4040,5014,5627,6863,8137,11598,12144,12626,10083,5053,3156,2244,1113,410,76,99950
가산디지털단지,승차,일반,5775,7418,21583,26278,18430,15390,19005,24653,27678,32056,38895,64716,194635,280247,109479,62045,46382,25744,11169,1370,1032948
가산디지털단지,승차,중고생,0,0,0,0,0,1,1,0,0,0,1,0,2,1,1,0,0,0,0,0,7
가산디지털단지,승차,청소년,13,89,331,282,124,127,185,260,262,246,357,450,1048,947,406,303,210,170,78,7,5895
가산디지털단지,하차,어린이,0,8,9,75,28,96,170,181,183,190,152,145,111,105,64,34,31,17,1,2,1602
가산디지털단지,하차,외국인,0,0,0,4,12,18,26,28,27,27,45,20,21,14,14,24,14,32,13,13,352
가산디지털단지,하차,우대권,2684,6192,7007,11286,10528,8391,7286,6789,7334,6317,5966,4904,3670,2523,1555,1181,850,525,299,91,95378
가산디지털단지,하차,일반,2598,24243,129809,355457,198637,49213,28836,27213,27752,23916,22571,21892,26310,32959,23476,15461,13025,12132,7923,2754,1046177
가산디지털단지,하차,중고생,0,0,0,0,0,0,0,2,1,1,0,0,2,3,1,0,2,0,0,0,12
가산디지털단지,하차,청소년,7,59,596,895,595,171,243,248,273,302,428,439,553,361,279,192,193,189,98,24,6145
강남,승차,어린이,10,8,90,101,218,288,350,387,493,520,517,546,475,409,282,204,147,89,20,2,5156
강남,승차,외국인,1,4,20,51,110,183,274,351,409,500,582,577,603,566,407,345,332,260,94,7,5676
강남,승차,우대권,1712,4515,3837,4212,5858,9296,11577,11263,12381,17560,20988,16909,13872,9850,6937,5851,5003,2810,816,146,165393
강남,승차,일반,6348,13358,34854,57059,48275,45389,59568,75726,87671,94068,113405,144919,228035,294571,198003,152061,165351,143349,67034,11414,2040458
강남,승차,중고생,0,0,1,0,0,4,5,5,9,21,9,19,15,14,10,10,23,11,3,1,160
강남,승차,청소년,37,148,987,818,991,922,1488,2215,2751,2716,2840,3628,4985,4342,3414,3764,5680,5786,889,73,48474
강남,하차,어린이,0,3,50,83,191,272,340,413,400,422,428,461,487,332,252,182,193,86,19,6,4620
강남,하차,외국인,3,1,12,48,245,427,400,390,425,404,503,565,506,398,352,276,154,120,77,24,5330
강남,하차,우대권,5023,12033,7873,9701,12690,12553,11598,9870,11296,11150,10108,8863,7298,5303,3423,2602,1817,964,554,180,144899
강남,하차,일반,6193,47489,142895,294494,298237,136959,91906,90841,101401,90774,85656,95984,126032,163321,98328,55349,46722,37623,22091,6138,2038433
강남,하차,중고생,0,0,2,1,4,11,17,17,5,12,14,11,18,10,8,2,5,3,0,0,140
강남,하차,청소년,37,137,1478,1571,2727,2348,2472,3597,3706,3496,3674,4586,5505,5347,2752,1779,2001,1668,449,96,49426
강남구청,승차,어린이,0,1,28,51,52,60,51,77,126,71,95,136,127,114,92,44,29,14,3,0,1171
강남구청,승차,외국인,0,0,3,11,3,4,13,22,21,13,11,22,14,32,26,16,18,3,5,0,237
강남구청,승차,우대권,605,1537,1440,1778,2828,3390,3877,3854,3980,5224,6544,5510,5121,4035,2836,2018,1611,666,221,71,57146
강남구청,승차,일반,1177,2770,5703,8496,7219,6590,8674,11103,13519,16758,20581,26860,47445,80214,48369,30451,28668,20518,8830,1448,395393
강남구청,승차,중고생,0,9,0,5,0,1,0,0,1,1,4,2,2,0,1,2,0,0,0,0,28
강남구청,승차,청소년,4,56,314,226,160,155,170,236,441,413,474,786,569,561,464,440,533,560,98,3,6663
강남구청,하차,어린이,0,1,14,61,55,56,53,81,75,108,180,126,111,136,65,50,43,17,9,0,1241
강남구청,하차,외국인,0,0,1,8,12,22,15,32,26,26,38,23,32,40,20,23,12,2,2,0,334
강남구청,하차,우대권,1095,5137,4118,5309,5306,4657,4162,3869,4103,3872,3853,3542,2950,2314,1573,1173,805,402,212,75,58527
강남구청,하차,일반,572,11508,31782,95062,91333,37541,21013,18528,18967,16242,14658,15147,17306,19124,12293,8135,6106,5104,3586,1598,445605
강남구청,하차,중고생,0,1,1,0,0,0,5,2,0,3,5,3,5,1,2,4,1,9,0,0,42
