역명,승하차구분,승객유형,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,합계
가락시장,승차,어린이,1,4,29,108,53,84,92,126,126,110,136,206,176,134,50,56,30,10,8,0,1539
가락시장,승차,외국인,0,0,0,2,2,7,4,8,5,10,10,0,13,4,10,5,9,11,0,0,100
가락시장,승차,우대권,2339,3502,5410,7042,10203,12189,12822,11946,12070,13390,14372,12586,10292,7917,5501,4357,3182,2142,890,212,152364
가락시장,승차,일반,4277,9802,28082,31462,19420,13395,12035,13567,13977,13600,15298,18371,30451,48053,19758,16128,15789,12500,5753,1250,342968
가락시장,승차,중고생,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,5
가락시장,승차,청소년,3,158,1424,467,400,368,264,371,401,271,510,874,764,606,326,309,261,212,52,14,8055
가락시장,하차,어린이,0,3,1,32,43,36,51,76,91,91,149,187,215,129,155,131,91,63,6,4,1554
가락시장,하차,외국인,0,0,0,0,2,3,1,16,4,5,5,10,4,19,8,8,3,7,1,1,97
가락시장,하차,우대권,1970,6097,6111,7487,8838,10847,12094,12349,11459,12310,13265,12610,10997,8126,5302,4368,3060,2105,954,293,150642
가락시장,하차,일반,1342,7833,21682,60477,21361,11534,10487,11577,13192,12512,14261,18146,26076,39376,28593,18742,16470,13890,8692,3742,359985
가락시장,하차,중고생,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,7
가락시장,하차,청소년,2,78,591,1447,220,162,244,319,305,260,612,930,743,655,506,488,523,1215,250,123,9673
가산디지털단지,승차,어린이,0,0,17,67,24,43,54,78,69,130,127,155,138,171,131,91,34,7,6,0,1342
가산디지털단지,승차,외국인,1,2,2,5,9,13,14,23,25,32,19,33,35,41,33,29,14,2,1,0,333
가산디지털단지,승차,우대권,1162,2591,2168,2517,3016,4065,4927,5979,6908,9639,13826,12334,12601,10245,5663,3481,2183,1070,435,83,104893
가산디지털단지,승차,일반,6673,8308,23114,27330,18582,15829,19149,25029,29052,32776,39936,66505,204337,298074,117935,65953,48484,27442,11544,1550,1087602
가산디지털단지,승차,중고생,0,0,0,1,1,0,3,1,4,5,5,1,4,3,7,2,4,1,0,0,42
가산디지털단지,승차,청소년,11,79,413,269,188,148,216,226,203,251,362,427,651,991,492,336,283,208,110,18,5882
가산디지털단지,하차,어린이,0,1,10,126,38,63,106,140,135,139,160,150,134,97,62,39,23,7,9,0,1439
가산디지털단지,하차,외국인,0,3,0,6,22,29,40,29,20,23,33,24,29,15,14,11,8,4,2,1,313
가산디지털단지,하차,우대권,2656,5815,7690,12138,11626,10132,7720,6983,7486,6517,5776,4744,3808,2571,1613,1246,917,561,301,83,100383
가산디지털단지,하차,일반,2624,23622,140163,385151,208304,52461,28725,26675,28203,24291,22793,22199,26677,34712,24387,15345,13212,12262,8164,3037,1103007
가산디지털단지,하차,중고생,0,0,1,0,1,1,3,1,5,2,2,1,1,4,0,0,0,1,0,0,23
가산디지털단지,하차,청소년,0,25,612,862,563,231,180,256,244,276,379,496,573,466,233,192,176,170,156,44,6134
강남,승차,어린이,4,20,53,202,181,239,285,432,469,482,504,490,437,364,245,179,148,85,12,4,4835
강남,승차,외국인,6,13,24,41,80,188,288,344,375,465,533,549,535,498,464,403,330,261,131,9,5537
강남,승차,우대권,1884,4525,3574,4136,5936,9108,11457,10968,12231,17332,20838,16761,13399,9887,7062,6374,5314,3067,896,173,164922
강남,승차,일반,5864,13393,37383,60057,47382,45839,59434,75670,89423,96011,115435,143351,232017,311669,204592,153947,174417,147649,70150,12758,2096441
강남,승차,중고생,0,2,0,5,1,2,4,4,11,12,14,9,17,17,23,17,32,22,6,2,200
강남,승차,청소년,108,260,821,725,751,861,1233,1845,2426,2256,2717,3483,4929,4270,3293,3463,6405,8372,1272,210,49700
강남,하차,어린이,0,6,20,99,194,263,282,394,402,326,426,381,430,427,273,230,209,77,12,4,4455
강남,하차,외국인,5,3,20,22,148,324,406,410,384,483,424,446,522,416,396,254,229,145,53,9,5099
강남,하차,우대권,5378,11512,8144,9807,12862,11823,11134,9741,11797,10636,9752,8771,7516,5393,3236,2663,2046,1061,518,165,143955
강남,하차,일반,6625,45284,152647,308780,305394,140723,89706,86521,98662,86726,82916,91767,123052,167038,100036,55956,48271,39875,23552,6991,2060522
강남,하차,중고생,0,0,7,20,26,22,15,14,5,12,12,18,8,9,7,12,4,4,3,0,198
강남,하차,청소년,35,319,4315,1981,3140,2267,2121,2420,2681,2644,3161,4199,5045,5424,2685,1609,1621,1824,778,167,48436
강남구청,승차,어린이,1,2,78,22,27,40,48,68,88,91,120,129,105,63,104,42,40,15,1,1,1085
강남구청,승차,외국인,0,0,0,0,4,3,7,10,22,28,12,23,12,15,21,16,16,6,4,2,201
강남구청,승차,우대권,576,1508,1308,1785,2585,3291,3658,3489,3745,4982,6719,5457,4875,4084,2736,2137,1753,793,251,39,55771
강남구청,승차,일반,1246,2634,6031,9135,7031,6383,8324,11019,13290,15792,19687,26393,45792,84703,50319,30801,29394,20465,8751,1629,398819
강남구청,승차,중고생,0,9,0,1,0,0,0,0,1,0,2,7,1,13,7,1,0,0,0,0,42
강남구청,승차,청소년,3,55,327,195,172,167,176,186,296,280,410,776,654,445,365,437,523,538,91,25,6121
강남구청,하차,어린이,0,1,2,30,29,61,73,102,87,83,187,130,112,119,52,68,18,10,2,0,1166
강남구청,하차,외국인,0,1,1,2,6,16,18,23,25,14,22,19,21,14,18,17,6,0,3,0,226
강남구청,하차,우대권,1114,5090,4152,5278,5114,4459,3889,3611,4041,3818,3671,3288,2852,2240,1559,1281,785,457,202,96,56997
강남구청,하차,일반,538,10765,32199,99794,95392,37324,20548,17841,18380,15232,13715,13826,15556,18596,11684,7926,6124,5211,3913,1798,446362
강남구청,하차,중고생,0,0,0,20,1,3,0,5,1,2,3,2,0,3,1,0,2,1,1,0,45
강남구청,하차,청소년,3,38,517,374,581,430,291,374,481,364,381,604,695,495,272,202,204,260,130,46,6742
강동,승차,어린이,2,3,95,116,79,107,111,129,139,154,252,237,163,113,68,47,18,4,0,0,1837
강동,승차,외국인,36,0,4,4,3,3,1,4,3,2,7,2,1,3,2,0,2,0,0,0,77
강동,승차,우대권,4173,4585,5636,7961,8488,9343,8658,8194,7664,8293,9042,9295,8143,5485,4006,2849,1796,1033,382,50,115076
강동,승차,일반,7093,16305,50576,64177,29368,18350,16636,18528,17131,15421,17120,19964,31515,35794,17752,12878,11010,8359,3729,673,412379
강동,승차,중고생,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
강동,승차,청소년,17,290,2085,566,448,287,307,396,364,302,404,540,509,401,389,288,213,229,130,25,8190
강동,하차,어린이,0,20,6,41,50,74,84,107,99,168,276,238,234,244,150,105,67,46,12,5,2026
강동,하차,외국인,0,0,0,0,1,1,3,2,5,4,0,3,40,8,2,4,5,2,3,0,83
강동,하차,우대권,866,3801,4424,7125,6510,7033,7475,7813,9141,9443,9438,9550,8106,6994,5248,3815,2979,1650,771,265,112447
강동,하차,일반,482,7344,23319,39691,19890,12364,10582,11334,14071,13604,15154,19431,27633,50276,37397,25138,24392,21990,14535,6408,395035
강동,하차,중고생,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,2,0,7
강동,하차,청소년,5,58,359,253,259,251,292,334,306,391,614,1281,960,649,573,540,656,790,318,127,9016
강동구청,승차,어린이,3,4,73,75,101,70,67,107,131,161,144,142,91,101,47,26,20,6,2,0,1371
강동구청,승차,외국인,0,0,1,1,0,1,4,6,2,4,3,2,4,0,5,3,5,2,1,0,44
강동구청,승차,우대권,2929,3412,3972,5261,6144,6181,5719,5087,5468,5426,5220,4742,4118,3401,1701,1359,1037,493,124,34,71828
강동구청,승차,일반,2660,9478,28263,37118,18980,10524,8579,9246,9148,7917,8584,10704,15250,22998,8925,6738,5804,4343,1721,366,227346
강동구청,승차,중고생,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0,0,0,0,0,0,6
강동구청,승차,청소년,23,264,1354,383,329,299,350,371,347,265,462,1203,448,319,219,178,179,208,52,3,7256
강동구청,하차,어린이,0,0,25,35,11,52,58,84,84,80,133,159,175,149,101,71,63,20,11,0,1311
강동구청,하차,외국인,0,0,0,0,0,1,6,3,2,0,0,2,3,7,1,0,2,0,0,0,27
강동구청,하차,우대권,488,2301,2862,4154,3894,4488,4551,4642,5146,5399,6499,6793,5804,5247,3659,2573,2270,1238,491,145,72644
강동구청,하차,일반,347,3309,11592,29071,11382,6149,5461,6859,8513,7968,9399,11923,17805,31523,22461,14577,14086,12052,6907,2267,233651
