역명,승하차구분,승객유형,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,합계
가락시장,승차,어린이,0,3,19,142,99,95,134,165,134,181,157,177,131,103,59,57,15,35,7,1,1714
가락시장,승차,외국인,0,0,0,4,11,11,3,1,3,6,10,10,10,2,6,11,4,3,2,0,97
가락시장,승차,우대권,2303,3666,5794,7158,9452,11650,12093,11269,10782,11800,13139,11176,9984,7875,5110,4295,3176,2044,765,240,143771
가락시장,승차,일반,4172,10324,28676,31233,17967,12973,12006,12839,13202,13316,14777,18546,32426,51225,19698,16471,15519,11662,5015,1139,343186
가락시장,승차,중고생,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,9
가락시장,승차,청소년,4,105,1134,423,364,397,384,551,512,503,665,944,855,590,349,269,253,200,60,7,8569
가락시장,하차,어린이,0,0,1,52,45,64,55,97,156,145,172,209,240,182,148,118,77,60,14,13,1848
가락시장,하차,외국인,0,0,1,3,1,4,9,3,14,20,7,0,18,9,11,2,2,1,0,0,105
가락시장,하차,우대권,2258,6506,6139,7669,8597,10427,11519,10907,10551,11142,11764,11487,10362,7986,4969,3916,3029,2043,811,258,142340
가락시장,하차,일반,1452,7878,23337,63344,21835,11202,9886,11632,13135,12176,12992,16991,25059,39583,27752,17890,15830,14229,8141,3561,357905
가락시장,하차,중고생,0,0,0,0,1,0,0,0,0,1,0,1,3,1,0,1,0,1,0,0,9
가락시장,하차,청소년,0,79,410,1223,258,259,326,526,517,495,661,749,880,788,511,493,595,1249,252,83,10354
가산디지털단지,승차,어린이,1,1,7,48,34,40,57,129,131,163,159,173,163,169,140,91,50,11,1,0,1568
가산디지털단지,승차,외국인,4,2,1,5,15,16,12,20,41,40,33,40,55,53,30,43,18,4,0,0,432
가산디지털단지,승차,우대권,1222,2632,2386,2542,2838,3920,4814,5854,6587,8645,12349,12160,12519,10718,5654,3470,2380,1307,477,60,102534
가산디지털단지,승차,일반,5963,7832,23059,27092,17983,14883,18332,24427,27565,32436,40950,69107,225545,325191,123392,69215,52542,29052,11800,1692,1148058
가산디지털단지,승차,중고생,0,0,0,0,2,1,0,0,3,3,0,2,0,2,20,1,0,1,0,0,35
가산디지털단지,승차,청소년,32,62,309,261,130,183,196,315,298,389,435,545,659,804,479,355,324,208,101,28,6113
가산디지털단지,하차,어린이,0,3,8,95,76,155,142,149,171,157,139,147,102,103,45,40,22,25,4,3,1586
가산디지털단지,하차,외국인,0,1,1,3,15,33,54,51,45,25,41,29,18,27,26,13,23,16,10,2,433
가산디지털단지,하차,우대권,2778,6623,8272,12327,11533,9405,6957,6285,6822,5583,5369,4479,3380,2482,1577,1176,824,492,278,91,96733
가산디지털단지,하차,일반,2696,26818,156512,412166,225235,53060,28381,25506,26440,22221,20260,20790,25044,33928,23504,14581,12200,11780,7518,2918,1151558
가산디지털단지,하차,중고생,0,0,0,0,5,1,0,1,16,0,1,3,4,1,2,0,0,2,0,1,37
가산디지털단지,하차,청소년,3,64,486,793,491,277,325,362,410,385,445,504,534,408,242,196,158,159,81,39,6362
강남,승차,어린이,4,4,31,207,234,261,417,597,596,658,642,681,644,529,340,315,248,131,45,7,6591
강남,승차,외국인,1,7,1,14,84,153,227,301,346,450,524,570,553,568,420,424,281,276,117,12,5329
강남,승차,우대권,1914,4502,3613,3982,5779,8982,11126,10775,11628,17429,20566,16519,13848,10172,6842,5652,5216,2976,865,152,162538
강남,승차,일반,6061,14025,37835,61833,48229,45734,60495,78447,93652,99988,120910,155085,253879,333750,214793,164024,184861,161986,74316,13366,2223269
강남,승차,중고생,5,0,0,0,8,4,7,13,22,20,13,19,34,38,17,19,35,22,5,0,281
