역명,승하차구분,승객유형,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,합계
동묘앞,하차,청소년,2,47,345,2074,941,764,1073,1299,1739,1543,1663,1445,800,467,357,262,243,239,161,53,15517
동작,승차,어린이,0,0,0,0,1,3,9,10,7,9,24,19,12,10,5,0,0,0,1,0,110
동작,승차,외국인,0,0,0,0,2,7,4,9,1,6,4,7,10,10,9,3,0,2,3,0,77
동작,승차,우대권,68,176,378,571,710,975,1118,1101,1069,1092,1430,1607,1219,621,232,232,100,23,13,7,12742
동작,승차,일반,119,302,1276,1619,1079,674,806,877,918,1334,1935,3300,4072,3766,1484,1311,1242,776,345,86,27321
동작,승차,중고생,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
동작,승차,청소년,0,6,2,32,43,115,74,120,40,37,54,62,53,39,49,34,26,23,12,2,823
동작,하차,어린이,0,0,0,1,3,3,4,13,11,23,19,9,16,8,6,1,3,1,1,0,122
동작,하차,외국인,0,0,0,0,3,9,6,12,1,6,3,8,11,12,4,1,1,4,9,4,94
동작,하차,우대권,126,810,768,805,1084,1314,1003,948,1345,1304,1128,783,602,406,198,180,114,78,31,20,13047
동작,하차,일반,240,2491,1897,3837,1575,1133,867,1116,1507,2169,1972,1703,1896,2352,1854,2023,825,724,544,357,31082
동작,하차,중고생,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
동작,하차,청소년,2,0,5,133,45,19,39,61,77,114,63,53,69,66,35,31,16,19,15,6,868
둔촌동,승차,어린이,5,8,47,104,68,81,65,67,101,135,113,135,165,85,80,45,27,14,1,1,1347
둔촌동,승차,외국인,0,0,0,2,4,10,16,7,13,6,3,8,9,3,0,3,1,0,2,0,87
둔촌동,승차,우대권,1890,2241,3267,4315,5752,6208,6536,6268,6667,6928,8167,7613,5812,3862,2861,2209,1727,933,285,17,83558
둔촌동,승차,일반,2899,7873,22635,24741,13136,8016,8280,9286,9365,9076,10723,13034,18051,18752,8874,7275,6405,5242,2595,340,206598
둔촌동,승차,중고생,0,0,0,0,4,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,9
둔촌동,승차,청소년,19,192,1057,941,605,410,391,473,576,618,666,727,1092,752,619,459,334,357,103,9,10400
둔촌동,하차,어린이,0,0,2,56,37,26,34,85,86,144,132,170,199,164,129,70,54,33,10,7,1438
둔촌동,하차,외국인,0,1,1,1,9,6,6,29,16,6,7,11,9,23,2,7,0,4,2,0,140
둔촌동,하차,우대권,418,2628,3559,3819,4620,5205,6220,6078,6754,6728,7703,7827,7227,5795,3544,2239,1867,1167,505,71,83974
둔촌동,하차,일반,144,4562,9687,19888,9967,6850,6403,6918,8589,7824,9768,11925,17597,27681,19383,10459,11224,9067,6207,1899,206042
둔촌동,하차,중고생,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,7
둔촌동,하차,청소년,3,14,129,468,310,318,407,652,757,654,919,1057,952,885,585,481,546,572,202,35,9946
디지털미디어시티,승차,어린이,1,6,41,94,90,129,84,128,121,140,173,166,134,113,45,40,16,1,0,1,1523
디지털미디어시티,승차,외국인,1,13,2,7,33,11,16,6,22,19,9,2,8,7,2,3,0,0,0,1,162
디지털미디어시티,승차,우대권,2457,3261,4210,4850,5437,5925,5261,4904,4577,4401,4714,4767,3600,2614,1708,1095,843,384,117,39,65164
디지털미디어시티,승차,일반,4062,14002,46390,50375,24809,14391,12841,12957,12719,11986,13536,19227,33777,42487,17188,9617,7673,5771,3086,732,357626
디지털미디어시티,승차,중고생,0,0,0,0,0,0,0,0,0,1,1,2,3,1,0,0,0,0,0,0,8
디지털미디어시티,승차,청소년,25,324,1946,963,782,397,439,547,487,545,587,738,657,472,321,223,220,192,71,9,9945
디지털미디어시티,하차,어린이,0,0,45,43,16,25,37,51,86,103,145,198,227,159,114,115,93,54,20,5,1536
디지털미디어시티,하차,외국인,0,1,0,0,1,4,2,6,8,6,6,9,7,12,21,38,18,14,7,32,192
디지털미디어시티,하차,우대권,1115,2716,2777,3078,2741,2976,3545,3630,3882,4587,5839,6854,6173,5253,3549,2694,2221,1539,669,240,66078
디지털미디어시티,하차,일반,1725,9262,26572,61989,27384,9381,8086,9178,10304,10840,12017,17855,27043,45193,32872,20673,20606,19820,12544,5126,388470
디지털미디어시티,하차,중고생,0,0,0,0,1,0,0,1,1,0,2,1,0,2,0,1,1,0,0,0,10
디지털미디어시티,하차,청소년,4,10,176,331,317,439,664,769,697,727,797,1927,1092,940,947,760,1055,1197,426,104,13379
뚝섬,승차,어린이,1,2,34,46,44,49,77,137,165,232,219,303,254,190,133,87,42,27,4,0,2046
뚝섬,승차,외국인,2,0,1,11,9,23,30,74,110,182,244,325,361,304,212,154,109,45,5,0,2201
뚝섬,승차,우대권,1125,3042,2490,2731,3406,4625,5143,4938,4716,5538,6869,6287,5238,4587,2360,1977,1447,782,225,45,67571
뚝섬,승차,일반,1845,5778,14321,22803,14025,11424,14895,19039,24402,30522,37130,53254,81932,128921,66226,49515,42739,27942,11063,1686,659462
뚝섬,승차,중고생,0,0,2,2,2,1,3,1,2,4,11,4,4,5,3,2,3,0,0,0,49
뚝섬,승차,청소년,2,69,660,603,524,334,631,1050,1328,1780,2338,2844,2936,2911,2585,2023,1175,606,116,13,24528
뚝섬,하차,어린이,0,0,11,50,36,104,135,187,192,228,210,186,172,147,113,67,65,37,11,1,1952
뚝섬,하차,외국인,0,7,2,14,9,114,207,213,208,220,160,156,166,90,50,40,17,24,3,0,1700
