역명,month,노인_아침_유동인구,노인_점심_유동인구,노인_저녁_유동인구,kmeans_label
잠실새내역,1,25442.0,67333.0,20343.0,0
장지역,1,27295.0,45636.0,11957.0,0
장지역,1,20157.0,45446.0,15256.0,0
종각역,1,12851.0,100593.0,34611.0,0
종각역,1,54326.0,76068.0,8253.0,0
종로3가역,1,32366.0,310460.0,110650.0,1
종로3가역,1,114503.0,304942.0,20791.0,1
종합운동장역,1,13051.0,25695.0,6019.0,0
종합운동장역,1,16692.0,22675.0,6916.0,0
중화역,1,26124.0,31795.0,7880.0,0
중화역,1,14206.0,37024.0,14653.0,0
증산역,1,32699.0,34711.0,5703.0,0
증산역,1,11779.0,43549.0,18361.0,0
창동역,1,64982.0,128715.0,30479.0,1
창동역,1,51150.0,140604.0,39202.0,1
청담역,1,17608.0,46961.0,14949.0,0
청담역,1,37445.0,30474.0,8785.0,0
총신대입구역,1,41260.0,89501.0,22250.0,0
총신대입구역,1,32305.0,101373.0,26180.0,0
충무로역,1,13719.0,72617.0,33240.0,0
충무로역,1,52797.0,60703.0,8243.0,0
충정로역,1,18471.0,34709.0,8641.0,0
충정로역,1,19854.0,31557.0,11340.0,0
태릉입구역,1,26227.0,42055.0,10742.0,0
태릉입구역,1,17405.0,44221.0,14370.0,0
학동역,1,12126.0,41842.0,13903.0,0
학동역,1,31673.0,27746.0,5289.0,0
한강진역,1,3250.0,10537.0,3825.0,0
한강진역,1,8184.0,6804.0,1821.0,0
합정역,1,28073.0,61120.0,20363.0,0
합정역,1,30511.0,58347.0,17248.0,0
행당역,1,23182.0,24306.0,4286.0,0
행당역,1,8571.0,27254.0,11447.0,0
홍제역,1,52776.0,78459.0,13654.0,0
홍제역,1,27684.0,84828.0,31450.0,0
회현역,1,13816.0,150555.0,20983.0,0
회현역,1,60799.0,117749.0,5974.0,0
효창공원앞역,1,13117.0,20223.0,4565.0,0
효창공원앞역,1,8469.0,20375.0,6465.0,0
가락시장역,2,33408.0,84084.0,21472.0,0
가락시장역,2,37049.0,80865.0,20429.0,0
강남구청역,2,9280.0,29306.0,10094.0,0
강남구청역,2,22085.0,22175.0,5500.0,0
강동구청역,2,23126.0,32458.0,7095.0,0
강동구청역,2,15491.0,35187.0,12981.0,0
건대입구역,2,38834.0,80919.0,25601.0,0
건대입구역,2,39184.0,81880.0,23680.0,0
공덕역,2,28700.0,68557.0,21856.0,0
공덕역,2,33991.0,61588.0,16445.0,0
광화문역,2,7440.0,53296.0,17989.0,0
광화문역,2,29262.0,41940.0,5342.0,0
광흥창역,2,15693.0,29080.0,4849.0,0
광흥창역,2,16210.0,25244.0,7606.0,0
교대역,2,31597.0,130363.0,49258.0,1
교대역,2,66727.0,117098.0,19327.0,1
구산역,2,20714.0,26310.0,3888.0,0
구산역,2,9082.0,31923.0,12524.0,0
군자역,2,37355.0,58992.0,20979.0,0
군자역,2,24527.0,62940.0,20975.0,0
굽은다리역,2,29152.0,38269.0,8337.0,0
굽은다리역,2,14617.0,40530.0,15833.0,0
남구로역,2,20545.0,29346.0,8653.0,0
남구로역,2,16905.0,30729.0,10780.0,0
노원역,2,81868.0,170578.0,44718.0,1
노원역,2,77449.0,173238.0,51294.0,1
논현역,2,8538.0,24051.0,9055.0,0
논현역,2,16381.0,19160.0,4960.0,0
단대오거리역,2,30333.0,32464.0,6386.0,0
단대오거리역,2,13295.0,40368.0,15028.0,0
당고개역,2,27733.0,35034.0,6789.0,0
당고개역,2,14105.0,38005.0,16087.0,0
당산역,2,15316.0,29653.0,9460.0,0
당산역,2,16400.0,32143.0,11006.0,0
대림역,2,54894.0,85959.0,20539.0,0
대림역,2,42766.0,94634.0,28469.0,0
대청역,2,20648.0,31094.0,6769.0,0
대청역,2,13703.0,30323.0,12803.0,0
대흥역,2,12176.0,25836.0,5288.0,0
대흥역,2,13640.0,22904.0,6698.0,0
독바위역,2,8517.0,9247.0,1647.0,0
독바위역,2,4720.0,12719.0,6189.0,0
동대문역,2,36522.0,167737.0,39500.0,1
동대문역,2,77227.0,143264.0,20154.0,1
동대입구역,2,4949.0,20561.0,8101.0,0
동대입구역,2,14609.0,18937.0,3476.0,0
동묘앞역,2,22806.0,162427.0,21857.0,1
동묘앞역,2,42885.0,149654.0,11820.0,1
디지털미디어시티역,2,22161.0,26821.0,6344.0,0
디지털미디어시티역,2,13427.0,29501.0,12979.0,0
마들역,2,35683.0,43489.0,6298.0,0
마들역,2,15870.0,48366.0,19677.0,0
마포구청역,2,28205.0,37345.0,8402.0,0
마포구청역,2,16341.0,37411.0,14057.0,0
면목역,2,34447.0,45549.0,10955.0,0
면목역,2,20628.0,54811.0,18923.0,0
미아사거리역,2,58861.0,92346.0,20390.0,1
미아사거리역,2,30620.0,104836.0,35496.0,1
미아역,2,37897.0,58744.0,12477.0,0
미아역,2,24689.0,64896.0,21430.0,0
봉화산역,2,19151.0,24636.0,4039.0,0
봉화산역,2,9491.0,26613.0,10845.0,0
불광역,2,45738.0,102529.0,22765.0,0
불광역,2,34648.0,113021.0,29373.0,1
사가정역,2,35881.0,46719.0,12165.0,0
사가정역,2,19599.0,55774.0,20319.0,0
사당역,2,65776.0,159960.0,55066.0,1
사당역,2,61979.0,171272.0,41901.0,1
상계역,2,46233.0,58081.0,11940.0,0
상계역,2,21503.0,62911.0,28042.0,0
상봉역,2,20474.0,36356.0,13559.0,0
상봉역,2,17009.0,38814.0,11986.0,0
상수역,2,6690.0,10731.0,2542.0,0
상수역,2,5734.0,10724.0,3553.0,0
서대문역,2,14281.0,42214.0,9425.0,0
서대문역,2,23837.0,31483.0,6878.0,0
